"source_bp","target_bp","cosine_similarity","influence","is_same_bp"
"abdomen","hind leg",0.0746730342286048,0.09744,FALSE
"reproductive","hind leg",0.0431296648628036,0.07694,FALSE
"hemolymph","abdomen",0.1220549647157,0.2201,FALSE
"enteric","abdomen",0.152631517262339,1.08,FALSE
"pharynx","abdomen",0.0589737898346003,0.08306,FALSE
"proboscis","abdomen",0.0422102364480845,0.06751,FALSE
"antenna","abdomen",0.258454459471476,0.0329,FALSE
"eye","abdomen",0.0945602294064313,0.0278,FALSE
"neck","abdomen",0.0405996527620282,0.02381,FALSE
"wing","abdomen",0.067917813593187,0.2799,FALSE
"haltere","abdomen",0.0594968280606658,0.3578,FALSE
"front leg","abdomen",0.0394517686713406,0.1598,FALSE
"middle leg","abdomen",0.0464319334873114,0.1909,FALSE
"hind leg","abdomen",0.0746730342286048,0.4088,FALSE
"abdomen","abdomen",1,8.081,TRUE
"reproductive","abdomen",0.994970988000316,2.699,FALSE
"hemolymph","reproductive",0.0824553462694042,0.01257,FALSE
"enteric","reproductive",0.0821726051152528,0.04782,FALSE
"pharynx","reproductive",0.0315313553853077,0.005709,FALSE
"proboscis","reproductive",0.0345756333054065,0.004585,FALSE
"antenna","reproductive",0.234711351982531,0.0003819,FALSE
"eye","reproductive",0.067886367265006,0.0001115,FALSE
"neck","reproductive",0.0137020424689626,0.0001095,FALSE
"wing","reproductive",0.0304362068136939,0.007428,FALSE
"haltere","reproductive",0.017232035406017,0.001459,FALSE
"front leg","reproductive",0.0316756709802179,0.01258,FALSE
"middle leg","reproductive",0.0370323090526822,0.01605,FALSE
"hind leg","reproductive",0.0431296648628036,0.01637,FALSE
"abdomen","reproductive",0.994970988000316,0.8,FALSE
"reproductive","reproductive",1,0.3076,TRUE
