id,UMAP1,UMAP2,supervoxel_id,position,side,region,flow,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,cluster,super_cluster
720575941553264211,-6.479365741706686,-3.463650341920104,76633830756673349,"134130, 69170, 2421",left,central_brain,efferent,motor,putative_primary,neck_motor,left_cervical_nerve,CvN3,CvN3,NA,EFF_12,head-eye-antenna
720575941428762249,-6.151610767341434,-3.558587904862609,75648599484544781,"105388,66512,1935",right,central_brain,efferent,motor,putative_primary,neck_motor,right_cervical_nerve,CvN4,CvN4,NA,EFF_12,head-eye-antenna
720575941548493857,-6.282500659919548,-3.2338088712017203,76633830756548302,"133436, 69194, 2370",left,central_brain,efferent,motor,LB12__prim,neck_motor,left_cervical_nerve,"CvN1,CvN2","CvN1,CvN2",NA,EFF_12,head-eye-antenna
720575941564833938,-6.226320659614383,-3.3328039607326594,76704130646905914,"135721, 65784, 1879",left,central_brain,efferent,motor,putative_primary,neck_motor,left_cervical_nerve,CvN11,CvN11,NA,EFF_12,head-eye-antenna
720575941609437613,-6.575516139961063,-3.411919947556701,76211687077952302,"122812,70312,2584",right,central_brain,efferent,motor,putative_primary,neck_motor,left_cervical_nerve,CvN6,CvN6,NA,EFF_12,head-eye-antenna
720575941508147746,-6.273890888191043,-3.4517773350994227,75648668271280787,"104487,67830,2232",right,central_brain,efferent,motor,putative_primary,neck_motor,right_cervical_nerve,CvN5,CvN5,NA,EFF_12,head-eye-antenna
720575941539792220,-6.596054470039188,-3.221376653603759,76211618358478065,"121695, 68198, 2578",left,central_brain,efferent,motor,putative_primary,neck_motor,right_cervical_nerve,CvN6,CvN6,NA,EFF_12,head-eye-antenna
720575941439741119,-6.605823909736443,-3.255547519616337,76073630051837359,"117040, 151460, 4113",right,ventral_nerve_cord,efferent,motor,16B,neck_motor,right_dorsal_prothoracic_nerve,DProN1,NA,DProN1,EFF_12,head-eye-antenna
720575941544483252,-6.4841570014722905,-3.1955625972072745,75719105801890526,"107335,69825,2412",right,central_brain,efferent,motor,putative_primary,neck_motor,right_cervical_nerve,"CvN1,CvN2","CvN1,CvN2",NA,EFF_12,head-eye-antenna
720575941457562694,-6.554713642097281,-3.5788317879955494,75859912076507840,"111589, 72899, 2575",right,central_brain,efferent,motor,putative_primary,neck_motor,right_cervical_nerve,CvN3,CvN3,NA,EFF_12,head-eye-antenna
720575941573751305,-6.208609973884403,-3.4046460351268837,76706742456886608,"136531, 143863, 3645",right,ventral_nerve_cord,efferent,motor,MX12,neck_motor,left_cervical_nerve,CvNA2,NA,CvNA2,EFF_12,head-eye-antenna
720575941455715053,-5.960400497413455,-3.557069416932311,75437218306761570,"99968, 58939, 1573",right,central_brain,efferent,motor,MX12__prim,neck_motor,right_ventral_cervical_nerve,VCvN3,VCvN3,NA,EFF_12,head-eye-antenna
720575941514963811,-6.063670551276971,-3.5323618611614402,76844593190786659,"139332, 58265, 1756",left,central_brain,efferent,motor,MX12__prim,neck_motor,left_ventral_cervical_nerve,VCvN3,VCvN3,NA,EFF_12,head-eye-antenna
720575941731588651,-6.415294086433232,-3.466491099290099,76776904774186703,"137634, 138551, 2609",left,ventral_nerve_cord,efferent,motor,16B,neck_motor,left_dorsal_prothoracic_nerve,DProN7,NA,DProN7,EFF_12,head-eye-antenna
720575941478578511,-6.336895381904434,-3.4544674119274283,77621192265322463,"162109,134977,2676",left,ventral_nerve_cord,efferent,motor,16B,neck_motor,left_dorsal_prothoracic_nerve,DProN6,NA,DProN6,EFF_12,head-eye-antenna
720575941508147234,-6.424268161750613,-3.114829297951905,75437424599868508,"99693, 64755, 2238",right,central_brain,efferent,motor,MX12__prim,neck_motor,right_ventral_cervical_nerve,"VCvN1,VCvN2","VCvN1,VCvN2",NA,EFF_12,head-eye-antenna
720575941492017790,-6.421520626045037,-3.201197620324345,76563530732000896,"131272, 70312, 2433",left,central_brain,efferent,motor,putative_primary,neck_motor,left_cervical_nerve,"CvN1,CvN2","CvN1,CvN2",NA,EFF_12,head-eye-antenna
720575941517213177,-6.1832565421827415,-3.493209715775695,75719105801817125,"107745,69672,2397",right,central_brain,efferent,motor,putative_primary,neck_motor,right_cervical_nerve,CvN11,CvN11,NA,EFF_12,head-eye-antenna
720575941573355592,-6.195629512763797,-3.4800213536541142,76354898803005131,"125003, 144270, 3868",left,ventral_nerve_cord,efferent,motor,NA,neck_motor,right_cervical_nerve,CvNA2,NA,CvNA2,EFF_12,head-eye-antenna
720575941564288263,-6.369338428474246,-3.2268733939449437,76844662043999134,"141076, 60805, 2091",left,central_brain,efferent,motor,MX12__prim,neck_motor,left_ventral_cervical_nerve,"VCvN1,VCvN2","VCvN1,VCvN2",NA,EFF_12,head-eye-antenna
720575941577100277,-6.4471792335279545,-3.1969419678966666,75929868034187527,"112946, 61131, 985",right,central_brain,efferent,motor,MX12__prim,neck_motor,right_ventral_cervical_nerve,"VCvN1,VCvN2","VCvN1,VCvN2",NA,EFF_12,head-eye-antenna
720575941502691819,-6.618997966743275,-3.311111565522404,77551098197663314,"160445, 142323, 1865",left,ventral_nerve_cord,efferent,motor,16B,neck_motor,left_dorsal_prothoracic_nerve,DProN1,NA,DProN1,EFF_12,head-eye-antenna
720575941507526213,-1.586106931663337,2.4401990214069285,76567860998779615,"132546, 199355, 6082",right,ventral_nerve_cord,efferent,visceral_circulatory,07B,NA,"left_anterior_dorsal_mesothoracic_nerve, right_anterior_dorsal_mesothoracic_nerve, left_dorsal_metathoracic_nerve, right_dorsal_metathoracic_nerve",EAXXX079,AN_GNG_90,EAXXX079,EFF_09,flight-energy-power
