bodyid,dataset,flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,sexually_dimorphic,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted
142877,MANC,afferent,sensory,taste_bristle_gustatory_neuron,front_leg_taste_bristle_gustatory_neuron,LgLG8,ventral_nerve_cord,right,gustatory,"contact_pheromone, ppk23, ppk25",taste_bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,NA,NA,NA,glutamate
142942,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta21,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
143459,MANC,afferent,sensory,orphan_neuron,front_leg_orphan_neuron,SNxxxx,ventral_nerve_cord,NA,NA,NA,orphan,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
144657,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta40,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
145147,MANC,afferent,sensory,chordotonal_organ_neuron,front_leg_claw_chordotonal_organ_neuron,SNpp51,ventral_nerve_cord,right,proprioception,position,chordotonal_organ,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,acetylcholine,NA,glutamate
145156,MANC,afferent,sensory,orphan_neuron,front_leg_orphan_neuron,SNxxxx,ventral_nerve_cord,right,NA,NA,orphan,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
145518,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta29,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
145556,MANC,afferent,sensory,taste_bristle_tactile_neuron,front_leg_taste_bristle_tactile_neuron,SNch10,ventral_nerve_cord,right,tactile,NA,taste_bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
145568,MANC,afferent,sensory,orphan_neuron,front_leg_orphan_neuron,SNxxxx,ventral_nerve_cord,right,NA,NA,orphan,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
146097,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,NA,NA,ventral_nerve_cord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glutamate
146161,MANC,afferent,sensory,orphan_neuron,front_leg_orphan_neuron,SNxxxx,ventral_nerve_cord,right,NA,NA,orphan,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
146168,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta40,ventral_nerve_cord,NA,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
147826,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta41,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
147829,MANC,afferent,sensory,orphan_neuron,front_leg_orphan_neuron,SNxxxx,ventral_nerve_cord,right,NA,NA,orphan,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
147841,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta42,ventral_nerve_cord,NA,tactile,NA,bristle,front_leg,NA,right_ventral_prothoracic_nerve,NA,isomorphic,NA,NA,glutamate
148035,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta40,ventral_nerve_cord,NA,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
148643,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta40,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
148681,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta40,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
149692,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta31,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
152115,MANC,afferent,sensory,taste_bristle_gustatory_neuron,front_leg_taste_bristle_gustatory_neuron,LgLG3,ventral_nerve_cord,right,gustatory,"sugar, Gr5a",taste_bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,male-specific,NA,NA,acetylcholine
152116,MANC,afferent,sensory,taste_bristle_gustatory_neuron,front_leg_taste_bristle_gustatory_neuron,LgLG3,ventral_nerve_cord,right,gustatory,"sugar, Gr5a",taste_bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,acetylcholine
152117,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN13B037,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13B,isomorphic,gaba,NA,gaba
152300,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta42,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,acetylcholine
152301,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN13B087,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13B,isomorphic,gaba,NA,gaba
152331,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN21A038,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,21A,isomorphic,NA,NA,glutamate
152392,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN14A024,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,14A,isomorphic,NA,NA,glutamate
152393,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN01B040,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,01B,isomorphic,gaba,NA,gaba
152455,MANC,afferent,sensory,taste_bristle_gustatory_neuron,front_leg_taste_bristle_gustatory_neuron,LgLG1a,ventral_nerve_cord,right,gustatory,ppk23,taste_bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,acetylcholine
152460,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN01B091,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,01B,dimorphic,gaba,NA,gaba
152552,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN01B070,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,01B,dimorphic,gaba,NA,gaba
152553,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN01B099,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,01B,dimorphic,gaba,NA,gaba
152586,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN13A071,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,glutamate
153222,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN08A036,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,08A,isomorphic,glutamate,NA,glutamate
153460,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A089,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,20A.22A,isomorphic,acetylcholine,NA,acetylcholine
153462,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN13B090,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13B,isomorphic,gaba,NA,gaba
153465,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta39,ventral_nerve_cord,NA,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
153564,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN13A050,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,gaba
153606,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN13A049,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,glutamate
153836,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_contralateral_restricted,IN01A085,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,01A,isomorphic,acetylcholine,NA,acetylcholine
154460,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN09A096,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,09A,isomorphic,gaba,NA,gaba
154803,MANC,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,ltm MN,ventral_nerve_cord,right,leg_motor,pull_long_tendon,long_tendon_muscle,NA,front_leg,right_prothoracic_leg_nerve,15B,isomorphic,glutamate,NA,gaba
155519,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN08A034,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,08A,isomorphic,glutamate,NA,glutamate
155827,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN19A064,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,gaba
155980,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN01B064,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,01B,isomorphic,gaba,NA,gaba
156035,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_interconnecting,IN19A117,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,gaba
156534,MANC,afferent,sensory,chordotonal_organ_neuron,front_leg_hook_chordotonal_organ_neuron,SNpp39,ventral_nerve_cord,right,proprioception,direction,chordotonal_organ,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,acetylcholine,NA,glutamate
156554,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN19A119,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,gaba
156646,MANC,afferent,sensory,chordotonal_organ_neuron,front_leg_hook_chordotonal_organ_neuron,SNpp41,ventral_nerve_cord,right,proprioception,direction,chordotonal_organ,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,acetylcholine,NA,glutamate
156989,MANC,afferent,sensory,taste_bristle_gustatory_neuron,front_leg_taste_bristle_gustatory_neuron,LgLG7,ventral_nerve_cord,right,gustatory,ppk23,taste_bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
157002,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN03A094,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,03A,isomorphic,acetylcholine,NA,acetylcholine
157036,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A092,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,20A.22A,dimorphic,acetylcholine,NA,acetylcholine
157225,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta38,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
157571,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta29,ventral_nerve_cord,NA,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
157572,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta20,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
157605,MANC,afferent,sensory,bristle_neuron,front_leg_bristle_neuron,SNta25,ventral_nerve_cord,right,tactile,NA,bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
157834,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A041,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,20A.22A,isomorphic,acetylcholine,NA,acetylcholine
157835,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN13B056,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13B,isomorphic,gaba,NA,gaba
157907,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A026,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,20A.22A,isomorphic,acetylcholine,NA,acetylcholine
158104,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN13B090,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13B,isomorphic,gaba,NA,gaba
158106,MANC,afferent,sensory,taste_bristle_gustatory_neuron,front_leg_taste_bristle_gustatory_neuron,LgLG3,ventral_nerve_cord,right,gustatory,"sugar, Gr5a",taste_bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,male-specific,NA,NA,acetylcholine
158207,MANC,afferent,sensory,taste_bristle_gustatory_neuron,front_leg_taste_bristle_gustatory_neuron,LgLG3,ventral_nerve_cord,NA,gustatory,"sugar, Gr5a",taste_bristle,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
158326,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN19A096,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,glutamate
158331,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN19A112,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,19A,isomorphic,gaba,NA,gaba
158598,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN01B069,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,01B,isomorphic,gaba,NA,gaba
158644,MANC,afferent,sensory,orphan_neuron,front_leg_orphan_neuron,SNxxxx,ventral_nerve_cord,NA,NA,NA,orphan,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,glutamate
159511,MANC,afferent,sensory,multidendritic_neuron,front_leg_multidendritic_neuron,SNxx29,ventral_nerve_cord,right,nociception,putative_nociception,multidendritic,front_leg,NA,right_prothoracic_leg_nerve,NA,isomorphic,NA,NA,acetylcholine
159614,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN09A085,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,09A,isomorphic,gaba,NA,gaba
159807,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN13A071,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,gaba
159822,MANC,efferent,motor,leg_motor_neuron,front_leg_motor_neuron,Tr flexor MN,ventral_nerve_cord,right,leg_motor,flex_coxa_trochanter_joint,trochanter_flexor_muscle,NA,front_leg,right_prothoracic_accessory_nerve,20B.21B.22B,isomorphic,glutamate,NA,unknown
159873,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN03A088,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,03A,isomorphic,acetylcholine,NA,acetylcholine
160171,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A082,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,20A.22A,isomorphic,acetylcholine,NA,acetylcholine
160295,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN08A034,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,08A,isomorphic,glutamate,NA,glutamate
