root_id,UMAP1,UMAP2,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941415777937,-8.820663837801472,9.860553971746613,76703649678161171,"137051, 51940, 2243",left,central_brain,descending,LB7,NA,DNge091,DNge091,DNxn117,flight power,dorsal VNC
720575941415785108,1.8790230470785925,4.067908278921291,74732637713665828,"78980, 32635, 2545",right,central_brain,central_brain_intrinsic,VLPl&p1_lateral,NA,CB2090,CB2090,NA,NA,right visual
720575941415785876,-0.9063102883210349,2.666115752676177,74732637579476241,"78654, 32304, 2041",right,central_brain,central_brain_intrinsic,VLPl1_or_VLPl5,NA,CB1903,CB1903,NA,NA,lateral brain
720575941415794836,1.8693177419791056,-8.779846914789038,74661788268238792,"76080, 18096, 3759",right,central_brain,central_brain_intrinsic,AOTUv4_dorsal,NA,TuBu05,TuBu05,NA,NA,inferior brain
720575941415796884,5.460997672666055,-5.334693201562716,77125107100766933,"148691, 30292, 5376",left,central_brain,central_brain_intrinsic,SLPpm1,NA,SLP286,SLP286,NA,NA,superior brain
720575941415798417,8.917664142240032,1.7944129624158613,75788031437359251,"109685, 26781, 2539",right,central_brain,central_brain_intrinsic,ALv1,NA,M_vPNml50,M_vPNml50,NA,NA,right olfactory
720575941415800092,3.510604711163981,-2.2669963917940392,76773950038190968,"139087, 49959, 3444",left,central_brain,central_brain_intrinsic,PSp1,NA,LAL150a,LAL150a,NA,NA,inferior brain
720575941415800724,4.222394557584268,4.583699933508086,74380725541646046,"68337, 30412, 3557",right,optic_lobe,visual_projection,VPNd2,visual,LC10a,LC10a,NA,NA,right visual
720575941415805588,5.226646991361126,1.962117783048796,73677244526260473,"47795, 35817, 4394",right,optic_lobe,visual_projection,NA,NA,MTe06,MTe06,NA,NA,inferior brain
720575941415807260,5.547338576901895,-14.594454535028298,76985125259022172,"144541, 51819, 4597",left,central_brain,central_brain_intrinsic,MBp,NA,KCab,KCab,NA,NA,left olfactory
720575941415819292,13.256206126798137,7.132523766973661,75225631776455968,"92519, 44649, 4542",right,central_brain,central_brain_intrinsic,MBp,NA,KCg-m,KCg-m,NA,NA,right olfactory
720575941415821852,3.6018179374823402,2.626401416280913,75155400336834143,"92042, 47758, 3948",right,central_brain,central_brain_intrinsic,putative_primary,NA,CB0734,CB0734,NA,NA,inferior brain
720575941415823900,-0.5266517084946801,-0.8939877233713398,75507381295437557,"100475, 53236, 3215",right,central_brain,central_brain_intrinsic,DM6_ventral,NA,CB2503,CB2503,NA,NA,posterior brain
720575941415825180,6.0325647312292885,-1.3036377511232624,75858056986844889,"110855, 16677, 4091",right,central_brain,central_brain_intrinsic,CREa2_medial,appetitive_learning,PAM06,PAM06,NA,NA,superior brain
720575941415830300,5.6746622043738215,-15.797325857660127,77125519149599086,"148440, 41760, 4477",left,central_brain,central_brain_intrinsic,MBp,NA,KC,auto:KCab,NA,NA,left olfactory
