flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,sexually_dimorphic,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,alignment_cell_type,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,malecns_09_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id,malecns_09_match_id
,,lateral_horn_centrifugal_neuron,cortex_glia,,,,olfactory,"ingested_material, Gr77a",multidendritic,wing_margin,,left_third_abdominal_nerve,24B.25B,,,,,,,,,,,,,,,,
,,lateral_horn_local_neuron,crop_motor_neuron,,,,ovulation,"ingested_material, Ir10a",neck_muscle,wing_tegula,,left_ventral_cervical_nerve,26X,,,,,,,,,,,,,,,,
,,lateral_horn_output_neuron,descending_neuron,,,,oxygenation,"ingested_material, Ir10a, Ir100a",nutrient_receptor,,,left_ventral_prothoracic_nerve,27X,,,,,,,,,,,,,,,,
,,leg_motor_neuron,digestive_tract_neurosecretory_cell,,,,pharynx_motor,"ingested_material, Ir60d",oblique_horizontal_muscle,,,MxLbN,3B,,,,,,,,,,,,,,,,
,,lobula_columnar,distal_medulla,,,,polarized_light,"ingested_material, Ir67c",oblique_horizontal_muscle_or_transverse_horizontal_muscle,,,ocellar_nerve,ALad1,,,,,,,,,,,,,,,,
,,lobula_intrinsic,distal_medulla_dorsal_rim_area,,,,proboscis_motor,internal_thermosensory,olfactory_sensillum,,,PhN,ALad1__prim,,,,,,,,,,,,,,,,
,,lobula_lobula_plate_columnar,DN1a,,,,proprioception,"ITP,Lk,sNPF,Tk",orphan,,,right_accessory_pharyngeal_nerve,ALl1_dorsal,,,,,,,,,,,,,,,,
,,lobula_lobula_plate_tangential,DN1p,,,,puff,joint_angle,pharynx_m10_muscle,,,right_antennal_nerve,ALl1_ventral,,,,,,,,,,,,,,,,
,,lobula_medulla_amacrine,DN3,,,,reaching,labellar_spreading,pharynx_m11d_muscle,,,right_anterior_dorsal_mesothoracic_nerve,ALlv1,,,,,,,,,,,,,,,,
,,lobula_medulla_tangential,dorsal_rim,,,,reproduction,mechanical_strain,pharynx_m11v_muscle,,,right_cervical_nerve,ALv1,,,,,,,,,,,,,,,,
