cell_type,other_names,super_class,cell_function,citations,doi
MeTu1,NA,visual_projection,visual_thin_vertical_bar,Garner et al 2024,10.1038/s41586-024-07967-z
MeTu2a,MeTu-DRA,visual_projection,visual_polarized_light,"Garner et al 2024, Kind et al 2021, Hardcastle et al 2021","10.1038/s41586-024-07967-z, 10.7554/elife.63225, 10.7554/elife.71858"
MeTu2b,MeTu-DRA,visual_projection,visual_polarized_light,"Garner et al 2024, Kind et al 2021,  Hardcastle et al 2021","10.1038/s41586-024-07967-z, 10.7554/elife.63225, 10.7554/elife.71858"
MeTu3a,NA,visual_projection,visual_polarized_light,Garner et al 2024,10.1038/s41586-024-07967-z
MeTu3b,NA,visual_projection,visual_chromatic,Garner et al 2024,10.1038/s41586-024-07967-z
MeTu3c,NA,visual_projection,visual_chromatic,Garner et al 2024,10.1038/s41586-024-07967-z
aMe12,NA,visual_projection,visual_chromatic,Kind et al 2021,10.7554/elife.71858
MTe50,ML-VPN1,visual_projection,visual_chromatic,Kind et al 2021,10.7554/elife.71858
MeMe_e10,MeMe-DRA,visual_projection,visual_polarized_light,Hardcastle et al 2021,10.7554/elife.63225
DNp47,NA,descending,landing,Liessem et al 2025,"10.1016/j.cub.2022.12.005, 10.1101/2025.12.13.693955"
DNg79,NA,descending,landing,Liessem et al 2025,"10.1016/j.cub.2022.12.005, 10.1101/2025.12.13.693955"
DNb08,NA,descending,walking,Pugliese et al 2025,10.1101/2025.09.12.675944
DNp60,NA,descending,threat_response,"Cao et al., 2025 (10.1101/2025.10.25.684556)",10.1101/2025.10.25.684556
DNpe050,NA,descending,threat_response,"Cao et al., 2025 (10.1101/2025.10.25.684556)",10.1101/2025.10.25.684556
AN08B018,NA,ascending,nociception,Jones et al. 2025,10.1101/2025.10.28.684868
AN09B004,NA,ascending,nociception,Jones et al. 2025,10.1101/2025.10.28.684868
AN09B018_a,NA,ascending,nociception,Jones et al. 2025,10.1101/2025.10.28.684868
AN09B018_b,NA,ascending,nociception,Jones et al. 2025,10.1101/2025.10.28.684868
AN09B018_c,NA,ascending,nociception,Jones et al. 2025,10.1101/2025.10.28.684868
AN09B018_d,NA,ascending,nociception,Jones et al. 2025,10.1101/2025.10.28.684868
