id,UMAP1,UMAP2,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941528092344,-8.949532638931975,-40.657652474535894,75859499625677032,"111741, 61023, 2137",right,central_brain,descending,LB7,NA,NA,DNg36_b,DNg36_b,DNut042,head orienting,dorsal VNC
720575941528139778,4.688629020308748,23.116729163037352,76142074248227240,"119572, 92500, 2681",left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B105,AN_GNG_SAD_28,AN05B105,postural control,leg VNC
720575941528229252,-26.68690980568002,3.860153578625735,76566417151099856,"131236, 157558, 3108",left,ventral_nerve_cord,ascending,10B,NA,NA,AN10B046,AN_GNG_165,AN10B046,proprioceptive,leg VNC
720575941528247140,-21.131539474869474,-14.613544083727783,76984850045043581,"144083, 43273, 3150",left,central_brain,descending,putative_primary,NA,NA,DNpe005,DNpe005,DNxn101,flight steering 1,dorsal VNC
720575941528293378,-6.287837158585294,24.025945090161375,76707017066288656,"136840, 153099, 2592",left,ventral_nerve_cord,ascending,17B,NA,NA,AN17B012,AN_AVLP_9,AN17B012,taste-touch,lateral brain
720575941528320952,14.829269279097813,-1.251532651080076,76563187000438524,"132830, 60264, 1919",left,central_brain,descending,LB12__prim,NA,NA,DNg88,DNg88,DNxl122,walking steering,leg VNC
720575941528334539,12.076866019820471,-40.4069734584226,76353180547907591,"124930, 92500, 2936",right,ventral_nerve_cord,ascending,19B,NA,NA,AN19B079,NA,AN19B079,flight steering 2,dorsal VNC
720575941528372301,-15.426447998429047,5.20406665693384,76707223157586585,"135653, 158267, 2328",left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B101_b,AN_multi_92,AN05B101,visceral control,superior brain
720575941528463526,1.10364376411368,23.546370886670164,76777523115530813,"138371, 156610, 2192",left,ventral_nerve_cord,ascending,09A,NA,NA,AN09A007,NA,AN09A007,reproduction,leg VNC
720575941528667814,-8.536670814896329,1.4194593657122212,76212443126274899,"122701, 92500, 3074",right,central_brain,descending,putative_primary,escape_takeoff,NA,DNp05,DNp05,DNp05,postural control,leg VNC
720575941528849848,-19.295148025894864,-26.40517482866186,75577749704028936,"103726, 52839, 1926",right,central_brain,descending,MX3,flight,NA,DNg08_a,DNg08_a,DNg07,flight power,dorsal VNC
720575941528933030,31.369215835189117,-16.72921428789038,76425817102437303,"128023, 159903, 3325",left,ventral_nerve_cord,ascending,10B,NA,NA,AN10B022,AN_AVLP_44,AN10B022,vibratory,lateral brain
720575941529139844,-0.6501373049564205,-0.3934356938733501,76633075245049753,"133217, 46921, 3929",left,central_brain,descending,PSp2,NA,NA,DNpe024,DNpe024,DNxn153,walking,leg VNC
720575941529212600,15.867131103133454,6.3371390331850606,76422174298871591,"127665, 51232, 736",left,central_brain,descending,putative_primary,NA,NA,DNge031,DNge031,NA,probing,flange median bundle
720575941529711288,3.204344142531649,-3.0771835814847392,75930968083016835,"113979, 92500, 3008",right,central_brain,descending,putative_primary,NA,NA,DNge004,DNge004,DNnt016,postural control,dorsal VNC
720575941529735883,11.611528266524568,-1.7735105525388164,76145098240553723,"119650, 183571, 3861",left,ventral_nerve_cord,ascending,06B,NA,NA,AN06B007_a,AN_multi_100,AN06B007,walking steering,leg VNC
720575941529738955,0.48788629875113126,0.2497893771470744,76145510826021772,"119004, 195251, 4951",left,ventral_nerve_cord,ascending,06B,NA,NA,AN06B005,AN_GNG_156,AN06B005,head orienting,leg VNC
720575941529744869,-15.66269601478647,-24.73084507097143,76633212213981516,"134871, 50568, 2050",left,central_brain,descending,MX3,NA,NA,DNg106,DNg106,DNg106,flight power,posterior brain
720575941529767812,4.798991073226229,16.871360205517824,76566691962115355,"131883, 164751, 2925",left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B106,AN_GNG_FLA_2,AN05B106,feeding,flange median bundle
720575941529819832,32.4017094264977,-18.716885186327882,77547524785241588,"160276, 35864, 1960",right,ventral_nerve_cord,ascending,10B,NA,NA,AN10B029,AN_AVLP_43,AN10B029,vibratory,lateral brain
720575941529822648,12.524350036238925,-38.406721688403074,75930968082687039,"114304, 92500, 2891",left,ventral_nerve_cord,ascending,19B,NA,NA,AN19B102,NA,AN19B102,flight steering 2,dorsal VNC
720575941529824440,-10.716689239884124,7.040393732892093,76350775970300446,"126922, 20490, 5278",right,central_brain,descending,SMPpv1,NA,NA,DNpe034,DNpe034,oviDN,reproduction,abdominal VNC
720575941529830840,29.947264541243804,21.5453905094729,76353180547821731,"125825, 92500, 2905",left,central_brain,descending,MX12,NA,NA,DNge025,DNge025,DNfl024,grooming,flange median bundle
720575941529904312,11.530991424178376,4.7624668110476085,75718350290247936,"107464, 48044, 3944",left,ventral_nerve_cord,ascending,NA,NA,NA,ANXXX030,AN_multi_51,ANXXX030,probing,leg VNC
720575941529978756,-6.296318184281097,19.736571692334227,76636992120648995,"135056, 163763, 3328",left,ventral_nerve_cord,ascending,08B,NA,NA,AN08B032,AN_multi_55,AN08B032,postural control,lateral brain
720575941530045624,2.954775918578401,21.425872229443602,76075829142303168,"117803, 215571, 4407",left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B025,AN_AVLP_22,AN05B025,taste-touch,leg VNC
720575941530080997,-19.34013475074838,-26.045025445116938,76282811736719494,"123573, 92500, 2786",left,central_brain,descending,MX3,NA,NA,DNg08_a,DNg08_a,DNxn111,flight power,dorsal VNC
720575941530093496,-5.491638313675629,-13.391687012804933,76001336827112191,"115448, 92500, 2973",right,central_brain,descending,putative_primary,NA,NA,DNpe014,DNpe014,DNxn119,flight power,posterior brain
720575941530093752,13.984417785262362,35.891053580151606,76566142072548360,"131822, 149268, 2557",left,ventral_nerve_cord,ascending,09B,NA,NA,AN09B023,AN_multi_67,AN09B023,tactile,leg VNC
720575941530158980,-5.402363907242522,5.044298552380617,76566967242733944,"132517, 172920, 4479",left,ventral_nerve_cord,ascending,23B,NA,NA,AN23B002,NA,AN23B002,flight power,dorsal VNC
720575941530171268,13.386507857894202,-33.709356881274175,76848579390005829,"139872, 176816, 3471",left,ventral_nerve_cord,ascending,07B,NA,NA,AN07B063,NA,AN07B063,flight steering 2,dorsal VNC
720575941530242180,-7.793673168564544,22.448623083935782,75373379054025660,"98208, 252420, 6051",left,ventral_nerve_cord,ascending,NA,NA,NA,ANXXX043,AN_AVLP_GNG_22,ANXXX043,tactile,leg VNC
720575941530295013,2.099057067488924,-15.310806847704834,76703993342564732,"136992, 63299, 2464",left,central_brain,descending,LB6,NA,NA,DNge086,DNge086,DNg49,head orienting,dorsal VNC
720575941530326660,3.4912818561546954,1.1826006997690754,76774293232717412,"137237, 61028, 1829",left,central_brain,descending,LB11,NA,NA,DNge013,DNge013,DNxn071,reproduction,abdominal VNC
720575941530464184,-0.39484624161790266,-33.194838143481206,76847479676846349,"141108, 143612, 2613",left,ventral_nerve_cord,ascending,07B,NA,NA,AN07B049,NA,AN07B049,head orienting,dorsal VNC
