UMAP1,UMAP2,id,top_nt,side,region,super_class,hemilineage,cell_function,nerve,composite_cell_type,cell_class,cell_sub_class,cell_type,fafb_cell_type,manc_cell_type,neck_group,group,label,unordered_cluster,cluster,colours
24.601071376605635,27.11453400855933,720575941487488821,acetylcholine,left,neck_connective,ascending,10B,NA,NA,AN10B019,ascending,NA,AN10B019,AN_AVLP_GNG_21,AN10B019,OUT,ascending_OUT,NA,11,AN_23,#8D6F58
-24.89334390659749,0.7373607040015279,720575941487659984,acetylcholine,right,neck_connective,descending,LB12,NA,NA,DNge016,descending,NA,DNge016,DNge016,DNut058,IN,descending_IN,NA,4,DN_02,#F96A3C
-24.880637150005693,17.66594086891089,720575941487707189,glutamate;acetylcholine,left,neck_connective,ascending,16B,proprioception,NA,AN16B112,ascending,unknown_orphan_neuron;haltere_campaniform_sensillum_neuron,AN16B112,NA,AN16B112,IN,ascending_IN,AN16B112,5,AN_09,#EF9334
23.31136800746501,-2.090307366791624,720575941487783888,acetylcholine,left,neck_connective,ascending,09B,NA,NA,AN09B009,ascending,,AN09B009,AN_GNG_SAD_2,AN09B009,OUT,ascending_OUT,NA,1,AN_20,#409D3D
24.75370313624919,28.646812069472414,720575941487800272,acetylcholine,left,neck_connective,ascending,10B,NA,NA,AN10B048,ascending,NA,AN10B048,AN_GNG_166,AN10B048,OUT,ascending_OUT,NA,11,AN_23,#8D6F58
24.245652217670088,2.5859788537589132,720575941487869904,gaba,left,neck_connective,ascending,05B,NA,NA,AN05B062,ascending,,AN05B062,AN_AVLP_GNG_7,AN05B062,OUT,ascending_OUT,NA,8,AN_19,#79B2E0
15.828005809589033,1.1691726327506125,720575941487876560,glutamate,left,neck_connective,ascending,00A,NA,NA,AN00A006,ascending,,AN00A006,AN_GNG_SAD_27,AN00A006,IN,ascending_IN,NA,25,AN_21,#672775
-31.65875146885335,16.427289593276125,720575941487967689,acetylcholine,right,neck_connective,ascending,07B,NA,NA,AN07B072,ascending,NA,AN07B072,AN_GNG_172,AN07B072,IN,ascending_IN,NA,5,AN_09,#EF9334
-30.734698276714678,18.307841885146242,720575941488139214,acetylcholine,right,neck_connective,ascending,07B,NA,NA,AN07B056,ascending,NA,AN07B056,AN_GNG_172,AN07B056,IN,ascending_IN,NA,5,AN_09,#EF9334
26.28506948451579,-14.187261950913328,720575941488143824,gaba,right,neck_connective,ascending,05B,NA,NA,AN05B025,ascending,NA,AN05B025,AN_AVLP_22,AN05B025,IN,ascending_IN,NA,7,AN_18,#E92F2F
17.78659345607341,-12.619850528183836,720575941488207305,gaba,left,neck_connective,ascending,01B,NA,NA,AN01B011,ascending,NA,AN01B011,AN_GNG_VES_7,AN01B011,OUT,ascending_OUT,NA,17,AN_15,#61BAE7
14.97719003657878,6.080649960097414,720575941488256976,acetylcholine,left,neck_connective,ascending,08B,NA,NA,AN08B099,ascending,NA,AN08B099,AN_GNG_149,AN08B099,OUT,ascending_OUT,NA,18,AN_25,#FAC240
2.9242077062565137,-17.4455379366311,720575941488845287,glutamate,left,neck_connective,descending,MX12__prim,NA,NA,DNg44,descending,,DNg44,DNg44,DNg44,IN,descending_IN,NA,2,DN_12,#9FB555
-6.4912357141536425,-24.872419726792234,720575941489036494,acetylcholine,left,neck_connective,descending,MX12,NA,NA,DNg12_e,descending,NA,DNg12_e,DNg12_e,DNxn139,IN,descending_IN,NA,12,DN_11,#EFB135
-24.211653690533037,-4.077075374070066,720575941489083596,acetylcholine,right,neck_connective,descending,LB12,flight,NA,DNg02_f,descending,,DNg02_f,DNg02_f,DNg02,IN,descending_IN,DNg02_f,23,DN_03,#B56FCC
-16.16255376835286,-8.251102817002195,720575941489195724,acetylcholine,left,neck_connective,descending,MX12,NA,NA,DNg12_a,descending,NA,DNg12_a,DNg12_a,NA,IN,descending_IN,NA,24,DN_01,#55B151
-34.1988401224178,6.648330318984133,720575941489207605,NA,right,neck_connective,descending,NA,NA,NA,DNnt012,descending,NA,DNnt012,AN_4_None,DNnt012,IN,descending_IN,NA,16,DN_05,#9C9286
2.540648956103926,-2.0834159969719828,720575941489274057,gaba,right,neck_connective,descending,putative_primary,NA,NA,DNge046,descending,NA,DNge046,DNge046,NA,IN,descending_IN,NA,3,DN_26,#2C8EC0
-21.93361375828206,18.441115963515383,720575941489375797,gaba,right,neck_connective,ascending,06A,NA,NA,AN06A092,ascending,NA,AN06A092,AN_4_None,AN06A092,IN,ascending_IN,NA,14,AN_08,#D73029
-35.55454919834553,7.832489597853762,720575941489377737,acetylcholine,right,neck_connective,descending,PSp2,steering,NA,DNp17,descending,NA,DNp17,DNp17,DNp17,IN,descending_IN,DNp17,16,DN_05,#9C9286
27.985695857806807,3.402617323454958,720575941489638094,gaba,right,neck_connective,ascending,17B,NA,NA,AN17B012,ascending,,AN17B012,AN_AVLP_9,AN17B012,OUT,ascending_OUT,NA,8,AN_19,#79B2E0
24.945792217059736,27.641597378310305,720575941489748169,acetylcholine,left,neck_connective,ascending,10B,NA,NA,AN10B020,ascending,NA,AN10B020,AN_AVLP_45,AN10B020,OUT,ascending_OUT,NA,11,AN_23,#8D6F58
16.727231044574385,-10.680352580490965,720575941489759177,acetylcholine,left,neck_connective,ascending,17A,NA,NA,AN17A068,ascending,NA,AN17A068,AN_GNG_116,AN17A068,OUT,ascending_OUT,NA,17,AN_15,#61BAE7
22.990704555316572,16.902904141005617,720575941489802697,acetylcholine,left,neck_connective,ascending,10B,NA,NA,AN10B031,ascending,,AN10B031,AN_GNG_166,AN10B031,IN,ascending_IN,NA,6,AN_22,#FA4141
13.374506015582686,-19.00526274437036,720575941489812277,acetylcholine,left,neck_connective,descending,putative_primary,NA,NA,DNp52,descending_neuron,NA,DNp52,DNp52,NA,OUT,descending_OUT,NA,22,DN_16,#C4B39C
-37.7664670755428,12.82751713996802,720575941490071605,serotonin,left,neck_connective,descending,PSp2,NA,NA,DNpe054,descending,NA,DNpe054,DNpe054,DNut046,OUT,descending_OUT,NA,16,DN_05,#9C9286
17.228093166156416,-12.130135905686277,720575941490249166,acetylcholine,right,neck_connective,ascending,TBD,NA,NA,ANXXX410,ascending,,ANXXX410,AN_4_None,ANXXX410,OUT,ascending_OUT,NA,17,AN_15,#61BAE7
