bodyid,post,pre,downstream,upstream,synweight,totalNtPredictions,predictedNt,voxels,class,entryNerve,name,ntAcetylcholineProb,ntGabaProb,ntGlutamateProb,ntUnknownProb,origin,location,locationType,predictedNtProb,prefix,rootSide,statusLabel,subclass,synonyms,systematicType,target,type,vfbId,modality,tag,cluster,subcluster,receptorType,status,celltypeTotalNtPredictions,celltypePredictedNt,group,somaSide,birthtime,hemilineage,serial,serialMotif,somaNeuromere,somaLocation,description,avgLocation,exitNerve,subclassabbr,transmission,tosomaLocation,longTract,rootLocation,source,soma
13246,3267,897,6324,3267,9591,897,acetylcholine,1434138977,intrinsic neuron,NA,INXXX468_T1_L,0.87441844,0.013310178,0.109930016,0.0023413638,LegNpT1_L,"19405,39289,62118",soma,0.8725318,IR,NA,Roughly traced,IR,NA,INXXX468,LegNpT1_L,INXXX468,VFB_jrcv0a7y,NA,NA,NA,NA,NA,Traced,10572,acetylcholine,13246,LHS,early secondary,TBD,13246,independent leg,T1,"list(19405, 39289, 62118),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",8A? in T1 LHS,,NA,NA,NA,,NA,,NA,TRUE
13627,2492,468,3284,2492,5776,468,glutamate,899075212,intrinsic neuron,None,IN02A029_T1_L,0.010526907,0.053715482,0.9329402,0.0028174135,LegNpT1_L.NTct_L,"22330,35768,49604",user,0.9329402,II,NA,Roughly traced,II,NA,IN02A029,NTct_L.LegNpT1_L,IN02A029,VFB_jrcv0aij,NA,NA,NA,NA,NA,Traced,4883,glutamate,11357,LHS,early secondary,02A,NA,NA,T1,"list(21690, 38848, 55153),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",2A in T1 LHS,"list(22398, 35663, 49604),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
15115,2437,790,5561,2437,7998,790,acetylcholine,1345019046,intrinsic neuron,NA,INXXX468_T1_L,0.8830721,0.010574046,0.10052262,0.0058312584,LegNpT1_L,"18540,37991,62866",soma,0.8810679,IR,NA,Roughly traced,IR,NA,INXXX468,LegNpT1_L,INXXX468,VFB_jrcv0bnv,NA,NA,NA,NA,NA,Traced,10572,acetylcholine,13246,LHS,early secondary,TBD,13246,independent leg,T1,"list(18540, 37991, 62866),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",8A? in T1 LHS,,NA,NA,NA,,NA,,NA,TRUE
16589,1815,472,3657,1815,5472,472,glutamate,1039713225,intrinsic neuron,None,IN02A007_T1_L,0.005190739,0.05659032,0.93694764,0.0012713171,NTct_L,"22445,35837,49604",user,0.93694764,IR,NA,Roughly traced,IR,NA,IN02A007,NTct_L,IN02A007,VFB_jrcv0cst,NA,NA,NA,10740,NA,Traced,3644,glutamate,14823,LHS,primary,02A,10740,dorsal,T1,"list(21360, 38324, 58311),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",2A in T1 LHS,"list(22398, 35663, 49604),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
17475,2635,451,3173,2635,5808,451,glutamate,903496503,intrinsic neuron,None,IN02A029_T1_L,0.009232346,0.062190942,0.92458296,0.0039937817,LegNpT1_L.NTct_L,"22368,35800,49604",user,0.92458296,II,NA,Roughly traced,II,NA,IN02A029,NTct_L.LegNpT1_L,IN02A029,VFB_jrcv0dhf,NA,NA,NA,NA,NA,Traced,4883,glutamate,11357,LHS,early secondary,02A,NA,NA,T1,"list(21811, 38914, 56991),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",2A in T1 LHS,"list(22398, 35663, 49604),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
17546,2821,294,1700,2821,4521,294,acetylcholine,758112805,intrinsic neuron,None,IN03A066_T1_L,0.6324434,0.11250956,0.25133863,0.0037083388,LegNpT1_L,"14532,31283,46844",user,0.6324434,IR,NA,Roughly traced,IR,NA,IN03A066,LegNpT1_L,IN03A066,VFB_jrcv0dje,NA,NA,NA,NA,NA,Traced,2288,acetylcholine,17546,LHS,secondary,03A,NA,NA,T1,"list(10190, 33209, 44698),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",3A in T1 LHS,"list(14271, 31283, 46716),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
18136,1624,339,2259,1624,3883,339,glutamate,679171939,intrinsic neuron,None,IN02A033_T1_L,0.02347139,0.10291956,0.8660657,0.0075433385,NTct_L,"22356,35708,49604",user,0.8660657,IR,NA,Roughly traced,IR,NA,IN02A033,NTct_L,IN02A033,VFB_jrcv0dzs,NA,NA,NA,NA,NA,Traced,2728,glutamate,18136,LHS,secondary,02A,NA,NA,T1,"list(21776, 38948, 56342),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",2A in T1 LHS,"list(22398, 35663, 49604),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
19833,1179,268,1553,1179,2732,268,acetylcholine,552617891,intrinsic neuron,None,IN04B081_T1_L,0.7450841,0.07395116,0.17323738,0.0077273506,LegNpT1_L,"11940,33516,47201",user,0.7450841,IR,NA,Roughly traced,IR,NA,IN04B081,LegNpT1_L,IN04B081,VFB_jrcv0fax,NA,NA,NA,NA,NA,Traced,5423,acetylcholine,19833,LHS,secondary,04B,NA,NA,T1,"list(19350, 40833, 47288),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",20A in T1 LHS,"list(11855, 33516, 47329),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
21189,1100,292,1766,1100,2866,292,acetylcholine,560708159,intrinsic neuron,None,IN04B081_T1_L,0.78109014,0.063075736,0.14853133,0.007302764,LegNpT1_L,"12214,33516,47591",user,0.78109014,IR,NA,Roughly traced,IR,NA,IN04B081,LegNpT1_L,IN04B081,VFB_jrcv0gcl,NA,NA,NA,17584,NA,Traced,5423,acetylcholine,21134,LHS,secondary,04B,NA,NA,T1,"list(19621, 40914, 46860),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",20A in T1 LHS,"list(11855, 33516, 47329),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
21322,1403,333,1985,1403,3388,333,acetylcholine,624732355,intrinsic neuron,None,IN04B081_T1_L,0.7616776,0.06738106,0.15454927,0.016392078,LegNpT1_L,"12330,33516,47455",user,0.7616776,IR,NA,Roughly traced,IR,NA,IN04B081,LegNpT1_L,IN04B081,VFB_jrcv0gga,NA,NA,NA,17584,NA,Traced,5423,acetylcholine,21134,LHS,secondary,04B,NA,NA,T1,"list(20012, 40608, 46005),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",20A in T1 LHS,"list(11855, 33516, 47329),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
21424,991,224,1444,991,2435,224,glutamate,480100244,intrinsic neuron,None,IN16B100_T1_L,0.042197112,0.08901174,0.85867506,0.010116104,NTct_L,"17564,36448,59829",user,0.85867506,IR,NA,Roughly traced,IR,NA,IN16B100,NTct_L,IN16B100,VFB_jrcv0gj4,NA,NA,NA,15984,NA,Traced,1970,glutamate,15984,LHS,secondary,16B,NA,NA,T1,"list(19190, 37103, 62265),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",8A? in T1 LHS,"list(16783, 36002, 59828),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
