display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,cluster,side,neurotransmitter,body_part_sensory,body_part_effector
abdominal_terminalia_bristle_sensory_neuron,720575941590468420,33675,SNabg08,,,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941688521996,34900,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941498133321,36745,SNabg09,orphan_neuron,abdomen_orphan_neuron,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941729890091,37903,SNabg05,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941479106690,26004,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941447785322,26025,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941538040306,26035,SNabg11,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,serotonin,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941574222587,26038,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941531254731,26045,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941633096608,26050,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941595186213,26051,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941490430439,26718,SNabg04,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941525652714,26725,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941517344505,26743,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941432255502,30840,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941594484694,31538,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941480493186,33672,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941416255516,34258,SNabg01,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941555959972,34475,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941625408394,36050,SNabg03,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,acetylcholine,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941512942289,36189,SNabg11,bristle_neuron,abdominal_terminalia_bristle,sensory,,right,serotonin,abdomen,
abdominal_terminalia_bristle_sensory_neuron,720575941484787965,36472,SNabg11,bristle_neuron,abdominal_terminalia_bristle,sensory,,left,serotonin,abdomen,
