display_name,root_id,cell_representative_point_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
sternotrochanter_extensor_dorsomedial_ribbon,720575941488644300,,sternotrochanter_extensor_dorsomedial_ribbon,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,right,acetylcholine,,hind_leg
CB0810,720575941671982759,,CB0810,antenna_motor_neuron,,motor,front leg,right,acetylcholine,,"antenna, scape"
sternal_anterior_rotator_ventrolateral_ribbon,720575941574355016,,sternal_anterior_rotator_ventrolateral_ribbon,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,right,gaba,,hind_leg
tarsus_depressor_B,720575941552926747,,tarsus_depressor_B,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,right,,,hind_leg
tibia_flexor,720575941538082453,,tibia_flexor,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,right,gaba,,hind_leg
long_tendon_muscle_B_femur,720575941447103669,,long_tendon_muscle_B_femur,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,right,gaba,,hind_leg
tibia_flexor,720575941627566474,,tibia_flexor,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,right,gaba,,hind_leg
accessory_tibia_flexor_A,720575941584932486,,accessory_tibia_flexor_A,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,right,glutamate,,hind_leg
sternal_anterior_rotator_MesoLN_ventral_1,720575941568355066,,sternal_anterior_rotator_MesoLN_ventral_1,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,gaba,,middle_leg
accessory_tibia_flexor_A,720575941505891422,,accessory_tibia_flexor_A,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,glutamate,,middle_leg
accessory_tibia_flexor_A,720575941410034859,,accessory_tibia_flexor_A,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,right,glutamate,,hind_leg
sternal_posterior_rotator_miller_32,720575941595712448,,sternal_posterior_rotator_miller_32,leg_motor_neuron,front_leg_motor_neuron,motor,front leg,right,gaba,,front_leg
tibia_flexor,720575941573687049,,tibia_flexor,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,gaba,,middle_leg
tibia_flexor,720575941641008741,,tibia_flexor,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,glutamate,,middle_leg
sternal_anterior_rotator_ventrolateral_ribbon,720575941538992021,,sternal_anterior_rotator_ventrolateral_ribbon,leg_motor_neuron,hind_leg_motor_neuron,motor,middle-hind leg,left,gaba,,hind_leg
sternal_anterior_rotator_MesoLN_ventral_2,720575941519664856,,sternal_anterior_rotator_MesoLN_ventral_2,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,left,gaba,,middle_leg
tibia_flexor,720575941658392344,,tibia_flexor,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,left,glutamate,,middle_leg
DProN3a,720575941448945757,,DProN3a,neck_motor_neuron,neck_roll_motor_neuron,motor,head-eye-antenna,left,gaba,,neck
tpn,720575941474595370,,tpn,wing_motor_neuron,wing_tension_motor_neuron,motor,flight-steering,left,gaba,,wing
accessory_tibia_flexor_B,720575941556850771,,accessory_tibia_flexor_B,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,right,glutamate,,middle_leg
accessory_tibia_flexor_A,720575941523135223,,accessory_tibia_flexor_A,leg_motor_neuron,middle_leg_motor_neuron,motor,middle-hind leg,left,glutamate,,middle_leg
IN02A029,720575941491145525,,IN02A029,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,glutamate,,
IN07B014,720575941516859235,,IN07B014,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,left,acetylcholine,,
IN07B014,720575941669104883,,IN07B014,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,acetylcholine,,
IN02A029,720575941652546837,,IN02A029,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,glutamate,,
IN02A029,720575941652544021,,IN02A029,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,glutamate,,
IN02A029,720575941414919569,,IN02A029,,ventral_nerve_cord_ipsilateral_interconnecting,ventral_nerve_cord_intrinsic,,right,glutamate,,
