id,supervoxel_id,composite_cell_type,super_class,cell_type,cluster,colours,UMAP1,UMAP2
720575941442381738,76918948134412358,sternotrochanter_extensor_MesoLN_dorsal_3,motor,sternotrochanter_extensor_MesoLN_dorsal_3,EFF_22,#FECA44,-3.6225311679383156,-1.227701954595382
720575941458771782,76217116923796691,femur_reductor_dorsomedial_ribbon,motor,femur_reductor_dorsomedial_ribbon,EFF_24,#F3B539,-2.2112123889466164,-0.26228790735417107
720575941611319017,76217323014479292,trochanter_flexor_dorsomedial_ribbon,motor,trochanter_flexor_dorsomedial_ribbon,EFF_04,#71C4EF,-0.47835015483101584,-0.4629142806451867
720575941554483354,76147022922902500,trochanter_flexor_dorsomedial_ribbon,motor,trochanter_flexor_dorsomedial_ribbon,EFF_04,#71C4EF,-0.47835015483101584,-0.4629142806451867
720575941493231536,76217185642852314,tibia_extensor_SETi_T3,motor,tibia_extensor_SETi,EFF_23,#3A9B9C,-2.6001608294983742,-0.4611909911554406
720575941461624845,76287348027277861,long_tendon_muscle_ltm_B,motor,long_tendon_muscle_ltm_B,EFF_24,#F3B539,-2.280573121978843,-1.0863559768121789
720575941454830131,76287760343910344,accessory_tibia_flexor_A,motor,accessory_tibia_flexor_A,EFF_24,#F3B539,-2.255295507385337,-0.7024138495843957
720575941631840453,76358060369161310,trochanter_flexor_dorsomedial_ribbon,motor,trochanter_flexor_dorsomedial_ribbon,EFF_04,#71C4EF,-0.47835015483101584,-0.4629142806451867
720575941502849623,76216704674161020,trochanter_extensor_LinJ_T3,motor,trochanter_extensor_LinJ,EFF_04,#71C4EF,-0.6105501575013039,-0.5332129523675988
720575941595299111,76216979551418747,femur_reductor_dorsomedial_ribbon,motor,femur_reductor_dorsomedial_ribbon,EFF_24,#F3B539,-2.2112123889466164,-0.26228790735417107
720575941461179859,76287142137555395,sternotrochanter_extensor_ventrolateral_ribbon_T3,motor,sternotrochanter_extensor_ventrolateral_ribbon,EFF_23,#3A9B9C,-2.8280060214539406,-0.7387908027093957
720575941645403000,76777661359460152,DLM1-4_T1,motor,DLM1-4,EFF_19,#50AC4C,-1.397788993789756,2.82138831163234
720575941640465439,77340542392243828,DLM1-4,motor,DLM1-4,EFF_19,#50AC4C,-1.4181406421204446,2.77587605262584
720575941630940642,76637954596559538,iv4,motor,iv4,EFF_20,#933CA5,-2.2771303576966164,3.025616176374619
720575941459347411,76638160821724845,iii4,motor,iii4,EFF_20,#933CA5,-2.017896406128013,2.9416722729284217
720575941519783640,77270379739218928,DLM1-4_T1,motor,DLM1-4,EFF_19,#50AC4C,-1.397788993789756,2.82138831163234
720575941566847847,76989111256873070,DVM1a-c_T2,motor,DVM1a-c,EFF_19,#50AC4C,-1.2678596896668313,2.6448138430196693
720575941521196211,77762342942962216,b1,motor,b1,EFF_20,#933CA5,-2.278132192566001,3.0137766077596595
720575941639281525,76847204798861119,tibia_extensor_FETi,motor,tibia_extensor_FETi,EFF_21,#F4533A,-2.1501839084168313,-4.452928833715255
720575941549397247,77200148635944273,PSI,visceral_circulatory,PSI,EFF_24,#F3B539,-1.9738781375428078,-1.2012241408746789
720575941538026109,76351599328489587,SEZ_NSC_Hugin,visceral_circulatory,SEZ_NSC_Hugin,EFF_11,#B56FCC,0.6497632341841819,1.0158512070257117
720575941562301440,76703236891049900,SEZ_NSC_Hugin,visceral_circulatory,SEZ_NSC_Hugin,EFF_11,#B56FCC,0.6497632341841819,1.0158512070257117
720575941470714891,76210313426765528,m_NSC_unknown,visceral_circulatory,m_NSC_unknown,EFF_12,#CB9D81,1.0826573448638084,-0.31178598856144646
720575941548341053,76210313292915572,m_NSC_unknown,visceral_circulatory,m_NSC_unknown,EFF_12,#CB9D81,1.0826573448638084,-0.31178598856144646
720575941609395786,76210382079255230,m_NSC_DMS,visceral_circulatory,m_NSC_DMS,EFF_12,#CB9D81,1.885188825652993,-0.1814973876398156
720575941630321634,76280750890502848,m_NSC_DMS,visceral_circulatory,m_NSC_DMS,EFF_12,#CB9D81,1.885188825652993,-0.1814973876398156
720575941479865679,76210106664302463,m_NSC_DH44,visceral_circulatory,m_NSC_DH44,EFF_12,#CB9D81,1.3287239151457908,-0.20841746782475212
720575941402302320,76350844823598714,m_NSC_DH44,visceral_circulatory,m_NSC_DH44,EFF_12,#CB9D81,1.3287239151457908,-0.20841746782475212
720575941487752144,76146610605927585,tibia_flexor,motor,tibia_flexor,EFF_24,#F3B539,-2.0585782451172707,-0.5047238395135949
720575941353008688,77055493331463114,CB0810,motor,CB0810,EFF_13,#695B52,0.4323330002287986,0.08226913953608772
720575941551611015,75583592000196512,ENXXX226_A1,motor,ENXXX226,EFF_07,#90735D,2.30129478149215,1.054522462137406
720575941637140597,77130398501089178,femur_reductor_tiny_T2,motor,femur_reductor_tiny,EFF_13,#695B52,0.5857724028090598,-0.04646282648258904
720575941546791969,75513773078969414,NA,motor,NA,EFF_13,#695B52,0.8030845003584983,0.4369880631048133
720575941633078944,75513566719508152,MNad02_A5,motor,MNad02,EFF_14,#6B5194,0.5753207283476951,2.487806267984574
720575941587334199,77130192073713231,long_tendon_muscle_A_dipalpha_T2,motor,long_tendon_muscle_A_dipalpha,EFF_22,#FECA44,-2.8677184505005715,-1.6917698905389855
720575941632311739,76358060234461317,accessory_trochanter_flexor,motor,accessory_trochanter_flexor,EFF_23,#3A9B9C,-2.710514299347007,-0.6380966231744836
720575941691080155,77059823397321552,trochanter_flexor_MesoLN_ventral_3,motor,trochanter_flexor_MesoLN_ventral_3,EFF_22,#FECA44,-3.3182656688233254,-1.4668105170648644
720575941483845954,77762274089514125,iv3,motor,iv3,EFF_20,#933CA5,-1.9764220637818215,2.9140384867269447
720575941535119809,76426917351935414,MNxm03,motor,MNxm03,EFF_13,#695B52,0.9466669636229637,0.1412851288396766
720575941569529458,76708529432094864,PSn_u,motor,PSn_u,EFF_19,#50AC4C,-1.4515831393738625,2.6146507933217933
720575941468687581,77059754677388598,tibia_extensor_FETi_T2,motor,tibia_extensor_FETi,EFF_13,#695B52,0.3244671898345115,-0.4375532195489953
720575941497863497,76989660878392237,tibia_extensor_SETi_T2,motor,tibia_extensor_SETi,EFF_22,#FECA44,-3.193536989166343,-1.5499609038751672
720575941494963582,77059754610635390,femur_reductor,motor,femur_reductor,EFF_13,#695B52,0.1271710472563865,-0.09283404802494744
720575941687653238,76919360853905225,trochanter_extensor_T2,motor,trochanter_extensor,EFF_22,#FECA44,-3.539618246032798,-1.2370665595453332
720575941494740094,76216979484666353,sternal_anterior_rotator_ventrolateral_ribbon,motor,sternal_anterior_rotator_ventrolateral_ribbon,EFF_13,#695B52,0.3820993977049949,0.018863625772659987
720575941403875952,75443473054495037,MNad53,motor,MNad53,EFF_06,#F63C3C,2.145260401294625,2.10230667138881
720575941518503603,75513910518116541,NA,motor,NA,EFF_13,#695B52,0.8030845003584983,0.4369880631048133
720575941415020572,76147091575267756,long_tendon_muscle_ltm_B_T3,motor,long_tendon_muscle_ltm_B,EFF_24,#F3B539,-1.9254920405884621,-1.111397080175216
720575941468774667,76216910698063271,trochanter_flexor_ventrolateral_ribbon,motor,trochanter_flexor_ventrolateral_ribbon,EFF_23,#3A9B9C,-2.753830186798179,-0.7062933967035363
720575941486524678,76287279308273530,accessory_tibia_flexor_B_T3,motor,accessory_tibia_flexor_B,EFF_23,#3A9B9C,-2.4971434993286965,-0.8320248649042199
720575941483327485,75583935731725782,MNad05_A4,motor,MNad05,EFF_15,#EB9C30,0.6943587141493919,1.6258038952428748
720575941431160824,76357648052379629,tibia_flexor,motor,tibia_flexor,EFF_24,#F3B539,-2.0585782451172707,-0.5047238395135949
720575941458778182,76145579612675995,EN27X010,visceral_circulatory,EN27X010,EFF_16,#773485,-0.9585218352814553,1.095418162592118
720575941563946038,75724810591904690,MNad13_A5,visceral_circulatory,MNad13,EFF_07,#90735D,2.234196312950051,0.5296983196813514
720575941628601126,75443404335053424,MNad14_A5,motor,MNad14,EFF_14,#6B5194,1.276973493621743,2.471133656748002
720575941562109440,75372966804353278,MNad02_A6,motor,MNad02,EFF_06,#F63C3C,2.0518465118865135,2.198171921022599
720575941645259128,77060167128775640,sternal_posterior_rotator_MesoLN_dorsal_5,motor,sternal_posterior_rotator_MesoLN_dorsal_5,EFF_22,#FECA44,-3.471976987793052,-1.0170538947504113
720575941484914242,76773949367269295,CB0911,motor,CB0911,EFF_01,#F96B3D,3.5545737820128562,-1.8143995330255578
720575941547204488,76562568189761623,CB0836,motor,CB0836,EFF_13,#695B52,0.8792758064726951,0.03533405805415413
720575941484914498,76914755641775346,CB0789,motor,CB0789,EFF_01,#F96B3D,3.851789362953103,-1.9427645728509972
720575941585908446,77055493264866972,CB0750,motor,CB0750,EFF_01,#F96B3D,3.471756883190072,-2.223070435277755
720575941573843464,76351393170016257,CB0914,motor,CB0914,EFF_02,#3A9838,2.9051186221102836,-1.4018834159296105
720575941402749552,77125793356177751,CB0873,motor,CB0873,EFF_13,#695B52,0.48969579510489725,-0.05637722467594841
720575941589105292,76844386897484257,CB0762,motor,CB0762,EFF_01,#F96B3D,3.612381585166848,-1.9025853202264855
720575941571565307,75161516906860440,EN00B025,visceral_circulatory,EN00B025,EFF_11,#B56FCC,1.2032998877028587,1.332539506204789
720575941406487726,75864929538242016,MNad54,motor,MNad54,EFF_13,#695B52,0.9376719074706199,0.19407791639155647
720575941462087364,75794767019791067,MNad21_A1,visceral_circulatory,MNad21,EFF_12,#CB9D81,2.0037170725325706,0.0958926155645301
720575941574029199,75864860818933295,MNad37,motor,MNad37,EFF_10,#E22C2C,1.3826152163008811,0.1351086571294715
720575941619965567,75935641409921820,EN00B007,visceral_circulatory,EN00B007,EFF_11,#B56FCC,1.0649947004775169,1.124132819421952
720575941437487148,75654166969807395,EN00B026_A3,visceral_circulatory,EN00B026,EFF_13,#695B52,0.5789394455412986,0.2843412830907752
720575941498727035,76216292222823466,MNhl87,motor,MNhl87,EFF_19,#50AC4C,-1.6041209620972512,2.1480863764364173
720575941479276227,75724192049483364,MNad16_A3,motor,MNad16,EFF_15,#EB9C30,0.6328798609236839,1.4634265377599647
720575941539828828,75161585626529819,EN00B024,visceral_circulatory,EN00B024,EFF_11,#B56FCC,1.4528132753829124,1.2497693970281532
720575941489671625,75794354501501797,MNad06_A1,motor,MNad06,EFF_14,#6B5194,0.5298667030791404,2.795954771288102
720575941460086995,75021123083241220,EN00B026_A2,visceral_circulatory,EN00B026,EFF_11,#B56FCC,1.2451828794936302,1.502111859567826
720575941559964175,75935023337094186,MNad44,motor,MNad44,EFF_15,#EB9C30,0.440313108489907,2.196831770189469
720575941513060931,75794698300003236,MNad13_A1,visceral_circulatory,MNad13,EFF_07,#90735D,2.2495460885028007,0.599373765237992
720575941502737899,75935298215170929,MNad02_A2,motor,MNad02,EFF_15,#EB9C30,0.5353767948607566,2.0718024447042396
720575941436910303,75794904458618212,ENXXX226_A3,motor,ENXXX226,EFF_10,#E22C2C,1.2767474728087547,0.6184091045934608
720575941567110644,75865204483275814,MNad44,motor,MNad44,EFF_15,#EB9C30,0.440313108489907,2.196831770189469
720575941513203459,75724673153410456,MNad06_A3,motor,MNad06,EFF_14,#6B5194,0.42251253895560525,2.8274124338704993
720575941437614933,75865341921940570,MNad16_A3,motor,MNad16,EFF_15,#EB9C30,0.6328798609236839,1.4634265377599647
