UMAP1,UMAP2,id,top_nt,nerve,region,super_class,side,super_cluster,hemilineage,cell_function,cell_function_detailed,body_part_effector,composite_cell_type,cell_class,cell_sub_class,cell_type,label,nerve_side,unordered_cluster,cluster,colours,body_part_effector2
-0.971564208961307,2.4121028223712777,720575941489673420,gaba,left_mesothoracic_accessory_nerve,ventral_nerve_cord,motor,left,flight-energy-power,17A,wing_steering,wing_steering_phasic_wing_steering,wing steering,iii1,wing_motor_neuron,wing_steering_motor_neuron,iii1,wing steering,left,4,EFF_08,#3D9D98,wing steering
-1.8685654754407992,-2.9236315449993278,720575941489684937,gaba,right_metathoracic_leg_nerve,ventral_nerve_cord,motor,right,middle-hind leg,15B,leg_motor,leg_motor_pull_long_tendon,hind leg,long_tendon_muscle_A,leg_motor_neuron,hind_leg_motor_neuron,long_tendon_muscle_A,hind leg,right,2,EFF_10,#695B52,hind leg
1.6675101166002164,1.216797951765809,720575941490091470,histamine,right_fourth_abdominal_nerve,ventral_nerve_cord,motor,right,abdomen motor 1,TBD,unknown,NA,abdomen,MNad56,abdomen_motor_neuron,NA,MNad56,abdomen,right,5,EFF_07,#B56FCC,abdomen
5.089129293464841,2.4376434126575326,720575941490096334,octopamine,abdominal_nerve_trunk,ventral_nerve_cord,visceral_circulatory,right,abdomen-egg-laying,00B,unknown,NA,abdomen,EN00B003,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,EN00B003,abdomen,right,10,EFF_03,#9FB555,abdomen
8.747418487571895,0.0457296410281991,720575941490203081,serotonin,left_corpus_cardiacum_nerve,central_brain,visceral_circulatory,left,energy homeostasis,putative_primary,diuresis_gut_motility_hormone_regulation,diuresis_gut_motility_hormone_regulation_Dh31,corpus allatum,l_NSC_DH31,pars_lateralis_neurosecretory_cell,corpus_allatum_neurosecretory_cell,l_NSC_DH31,corpus allatum,left,6,EFF_04,#79B2E0,corpus allatum
5.154677713417233,1.7499600687702035,720575941490687689,acetylcholine,abdominal_nerve_trunk,ventral_nerve_cord,motor,left,abdomen-egg-laying,06A,unknown,NA,abdomen,MNad11,abdomen_motor_neuron,NA,MNad11,abdomen,left,10,EFF_03,#9FB555,abdomen
8.838010395073116,-0.03997432797357092,720575941491151310,peptide,right_corpus_cardiacum_nerve,central_brain,visceral_circulatory,right,energy homeostasis,putative_primary,diuresis_gut_motility_hormone_regulation,diuresis_gut_motility_hormone_regulation_Dh31,corpus allatum,l_NSC_DH31,pars_lateralis_neurosecretory_cell,corpus_allatum_neurosecretory_cell,l_NSC_DH31,corpus allatum,right,6,EFF_04,#79B2E0,corpus allatum
-6.385821735359012,3.6250158587177133,720575941491272393,gaba,left_metathoracic_leg_nerve,ventral_nerve_cord,motor,left,middle-hind leg,TBD,leg_motor,leg_motor_flex_coxa_trochanter_joint,hind leg,trochanter_flexor_ventrolateral_ribbon,leg_motor_neuron,hind_leg_motor_neuron,trochanter_flexor_ventrolateral_ribbon,hind leg,left,1,EFF_13,#CF603E,hind leg
-2.729804908729373,-2.4364190062801505,720575941491293415,gaba,right_mesothoracic_leg_nerve,ventral_nerve_cord,motor,right,middle-hind leg,20B.21B.22B,leg_motor,leg_motor_move_coxa_posterior,middle leg,sternal_posterior_rotator_MesoLN_dorsal_5,leg_motor_neuron,middle_leg_motor_neuron,sternal_posterior_rotator_MesoLN_dorsal_5,middle leg,right,2,EFF_10,#695B52,middle leg
-5.589409267402469,3.692707661696229,720575941491494606,acetylcholine,left_mesothoracic_leg_nerve,ventral_nerve_cord,motor,left,middle-hind leg,15B,leg_motor,leg_motor_pull_long_tendon,middle leg,long_tendon_muscle_A_dipalpha,leg_motor_neuron,middle_leg_motor_neuron,long_tendon_muscle_A_dipalpha,middle leg,left,1,EFF_13,#CF603E,middle leg
6.969099128746213,1.3740559855182504,720575941491553333,octopamine,abdominal_nerve_trunk,ventral_nerve_cord,motor,right,abdomen-ureter,TBD,unknown,NA,abdomen,MNad09,abdomen_motor_neuron,NA,MNad09,abdomen,right,3,EFF_05,#9C9286,abdomen
7.924325550102414,-0.09430336563989172,720575941491728078,peptide,right_corpus_cardiacum_nerve,central_brain,visceral_circulatory,left,energy homeostasis,primary,anti_diuresis_stress_tolerance,"anti_diuresis_stress_tolerance_Capa,Ms",retrocerebral complex,SEZ_NSC_CAPA,subesophageal_zone_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,SEZ_NSC_CAPA,retrocerebral complex,right,6,EFF_04,#79B2E0,retrocerebral complex
