root_id,root_888,supervoxel_id,position,neurotransmitter_predicted,cell_type,volume_nm3
720575941534413797,720575941534413797,76422312542840666,"128971, 56706, 3711",acetylcholine,cM16,104565767680
720575941509812258,720575941509812258,76492681287380673,"129641, 55712, 3834",acetylcholine,cM16,65217907456
720575941477148475,720575941403621923,76211068938632401,"121293, 53129, 4003",acetylcholine,cM16,NA
720575941671738289,720575941555600667,78039968756633183,"175162, 32019, 2625",acetylcholine,cM16,NA
720575941541333117,720575941541333117,76142074315519495,"118942, 92500, 2991",glutamate,AN27X016,104507602688
720575941440543323,720575941440543323,76495842383491813,"130680, 150904, 3835",glutamate,AN27X016,72522505728
720575941596301607,720575941596301607,76566279645643154,"132848, 152178, 3062",acetylcholine,AN10B005,102882557952
720575941509092958,720575941509092958,76566211059995606,"131449, 151270, 3441",acetylcholine,AN10B005,78140613376
720575941492924878,720575941492924878,78110200263655027,"176766, 28656, 3563",gaba,LT11,102706691072
720575941544439325,720575941544439325,76778142597337657,"138921, 175945, 5997",gaba,PS1,102280596736
720575941643100754,720575941643100754,75792842538911079,"109033, 171117, 5348",gaba,PS1,64555793920
720575941618058197,720575941618058197,76356204473227609,"125530, 183105, 3936",gaba,AN05B006,102252474880
720575941560931087,720575941560931087,76356204473171250,"126459, 182474, 3910",gaba,AN05B006,92204081408
720575941560024847,720575941560024847,76707360798323747,"135692, 163069, 3279",gaba,AN05B006,44434358528
720575941458803952,720575941458803952,76355654381924543,"126244, 166498, 2742",gaba,AN05B006,41714505472
720575941518268819,720575941518268819,75296343379878580,"95476, 54490, 1733",acetylcholine,CB0040,102075461632
720575941500046459,720575941500046459,75929868302671053,"113802, 61412, 1861",acetylcholine,CB0040,86254502656
720575941600363420,720575941587723998,75014525543631775,"87177, 43717, 4415",acetylcholine,LHPV6q1,101918203904
720575941438110496,720575941536178410,77336762754137056,"154746, 45924, 4274",acetylcholine,LHPV6q1,NA
720575941556195300,720575941556195300,76773537251341559,"139011, 37976, 1570",glutamate,DNde001,101863553792
720575941601297705,720575941601297705,75577131161752966,"102635, 33986, 1713",glutamate,DNde001,86719422720
