vertex_id,root_626,super_class,cell_type,betweenness
149,720575941440659291,central_brain_intrinsic,hDeltaF,0.0749919630635694
150,720575941595103190,central_brain_intrinsic,CB0534,3455.869095393557
151,720575941534003075,ascending,AN08B018,1396.9397838835785
152,720575941503334962,ascending,AN10B037,282.103058903179
153,720575941644081490,ventral_nerve_cord_intrinsic,IN06B008,1772.7450826435434
154,720575941439780831,central_brain_intrinsic,ATL016,0.1284278283576421
155,720575941486832646,central_brain_intrinsic,v2LN30,9055.898376767247
156,720575941632368059,optic_lobe_intrinsic,T4d,0.0
157,720575941540852060,visual_projection,LLPC1,0.1423415955286764
158,720575941556996388,central_brain_intrinsic,VM2_adPN,383.7358475866906
159,720575941475937073,optic_lobe_intrinsic,Sm08,0.0
160,720575941401814307,descending,DNge050,6283.13261280308
161,720575941535971777,ventral_nerve_cord_intrinsic,IN07B002,14357.28226502861
162,720575941390604438,ascending,,63.30133412329493
163,720575941589302596,central_brain_intrinsic,CB0563,1315.9412413547998
164,720575941407500462,ventral_nerve_cord_intrinsic,IN23B040,1308.5929900606582
165,720575941492325351,central_brain_intrinsic,CB0235,128.85348181564763
166,720575941642606674,central_brain_intrinsic,CB1786,0.0
167,720575941545649001,central_brain_intrinsic,CB0785,0.0
168,720575941629975078,,,0.3954888401887989
169,720575941413446801,central_brain_intrinsic,CB1231,3942.5766074295066
170,720575941551357467,ventral_nerve_cord_intrinsic,IN12B072,58.8702542355118
171,720575941519234520,ventral_nerve_cord_intrinsic,INXXX231,2068.981156189487
172,720575941527258393,central_brain_intrinsic,CB1569,0.2281619127534035
173,720575941498444155,descending,DNg06,148.4946842536644
174,720575941552142727,descending,DNa03,391.8812629310018
175,720575941517058451,central_brain_intrinsic,CB1275,0.0
176,720575941514378842,ventral_nerve_cord_intrinsic,IN01A036,507.2178707734755
177,720575941449745333,ascending,ANXXX027,43821.8490251397
178,720575941551995391,ventral_nerve_cord_intrinsic,IN21A006,1745.8027648671682
179,720575941432141153,central_brain_intrinsic,CL004,1.3287015329911849
180,720575941655841748,,,0.0
181,720575941486712642,central_brain_intrinsic,SMP381,0.4494855712509037
182,720575941494191815,,,0.0
183,720575941609869741,central_brain_intrinsic,EPG,4.574450644845451
184,720575941439143375,ventral_nerve_cord_intrinsic,IN17A079,725.2353807720249
185,720575941592282582,ventral_nerve_cord_intrinsic,INXXX346,33.30876517782114
186,720575941536197057,central_brain_intrinsic,CB0010,13647.494246385164
187,720575941552862270,,,367.073495057685
188,720575941483233478,central_brain_intrinsic,CB0695,30.22161781525864
189,720575941445638932,sensory_ascending,SApp19,89.9707526211933
190,720575941553054782,visual_projection,LC6,0.027331915178103
191,720575941440112981,,,0.0
192,720575941680758717,optic_lobe_intrinsic,Tm1,0.0
193,720575941535829770,optic_lobe_intrinsic,Tm2,0.0
194,720575941401933347,central_brain_intrinsic,"SAD011,SAD019",28.892276222867324
195,720575941450901582,central_brain_intrinsic,CB0866,235.39741294643343
196,720575941534462954,central_brain_intrinsic,CRE080a,20.74894632236328
197,720575941483888450,sensory_ascending,SApp05,55.104846152393804
198,720575941537379304,central_brain_intrinsic,VC4_adPN,355.1484564958949
199,720575941515901955,central_brain_intrinsic,VES064,364.2574467446589
200,720575941548066184,descending,DNge073,14385.225196174692
201,720575941653792217,optic_lobe_intrinsic,T3,0.0
202,720575941688470540,,,3430.9224242752325
203,720575941549039220,,,0.5110381222330043
204,720575941473852000,ventral_nerve_cord_intrinsic,IN12B024,1999.767414736141
205,720575941687282294,optic_lobe_intrinsic,Mi1,0.0005486968449931
206,720575941568708398,ascending,AN19B017,1947.419965211444
207,720575941470058304,optic_lobe_intrinsic,Tm2,0.0
208,720575941540460749,,,156.68915727702978
209,720575941564126774,optic_lobe_intrinsic,Tm3,0.0
210,720575941668001457,visual_projection,LC18,0.0
211,720575941643336786,central_brain_intrinsic,KCg-m,0.0
212,720575941595549479,central_brain_intrinsic,PLP178,42.01399237746528
213,720575941604971710,central_brain_intrinsic,,0.0004440497335701
214,720575941565004695,central_brain_intrinsic,CB2367,0.9770837693100172
215,720575941573779016,,,0.2301921035338095
216,720575941504810290,descending,DNg90,1004.4146835705498
217,720575941585920646,ascending,AN19A018_d,1763.4629964632754
218,720575941454037997,ventral_nerve_cord_intrinsic,IN19A082,471.611208372431
219,720575941480167363,optic_lobe_intrinsic,Tm1,0.0
220,720575941611190189,central_brain_intrinsic,CB0454,1551.0475816322837
221,720575941485402178,sensory,SNta30,4.452959122565545
222,720575941626618425,sensory,SNta37,5.159914549961693
223,720575941617748476,ventral_nerve_cord_intrinsic,IN19A004,2148.1195355750724
224,720575941448363445,visual_projection,LPC1,0.0
225,720575941498471291,ventral_nerve_cord_intrinsic,IN21A030,238.7750012980377
226,720575941411131819,central_brain_intrinsic,lLN2T_d,14411.400150002451
227,720575941510811408,visual_projection,LT1d,4.446934309798923
228,720575941458136991,ventral_nerve_cord_intrinsic,IN00A045,74.23389120200892
229,720575941516228601,central_brain_intrinsic,CB2545,0.1899646421805895
230,720575941457134918,ventral_nerve_cord_intrinsic,IN04B089,826.5974334747528
231,720575941615292825,ventral_nerve_cord_intrinsic,IN12B013,138.73370530106058
232,720575941514022097,,,0.0
233,720575941438743596,central_brain_intrinsic,mAL,47.51503260166907
234,720575941599013312,central_brain_intrinsic,AVLP454_a,0.0
235,720575941657718552,ventral_nerve_cord_intrinsic,IN07B026,744.3587564276638
236,720575941533168771,,,0.0
237,720575941477327924,ventral_nerve_cord_intrinsic,IN03A036,218.2028414690697
238,720575941480518786,ventral_nerve_cord_intrinsic,IN13A005,4054.388636643927
239,720575941539044082,ventral_nerve_cord_intrinsic,IN06B003,6574.594379322794
240,720575941554704538,central_brain_intrinsic,KCapbp-m,0.0
241,720575941688651894,ventral_nerve_cord_intrinsic,INXXX042,1987.620725033536
242,720575941603323326,ventral_nerve_cord_intrinsic,IN13B010,3186.16999135914
243,720575941450861902,ascending,AN08B028,85.38782690442268
244,720575941438315282,,,0.0
245,720575941439645247,central_brain_intrinsic,SMP012,0.0716978511310468
246,720575941477159729,central_brain_intrinsic,VA1v_adPN,81.8810590146852
247,720575941631235554,central_brain_intrinsic,KCg-m,0.0
248,720575941530225592,,,0.0
249,720575941594165287,optic_lobe_intrinsic,TmY14,0.0
250,720575941541819421,central_brain_intrinsic,KCg-m,0.002428283405044
251,720575941457431280,ventral_nerve_cord_intrinsic,IN17A029,2832.575638917786
252,720575941488171721,sensory,SNta09,5.157882326321858
253,720575941526317337,central_brain_intrinsic,WED094c,1.1328929637313827
254,720575941482721734,optic_lobe_intrinsic,Dm2,0.0
255,720575941524410955,visual_projection,LT63,0.0023669551506672
256,720575941462499216,ventral_nerve_cord_intrinsic,IN06B024,8711.237327297285
257,720575941511441106,central_brain_intrinsic,CB3110,1.885659170004774
258,720575941574320905,ascending,AN07B036,147.82258011209788
259,720575941431206615,optic_lobe_intrinsic,Mi4,0.0
260,720575941628052281,,,759.5759157669721
261,720575941429062831,visual_projection,LC9,0.0002956830277942
262,720575941563646050,ascending,AN07B005,4156.170082891861
263,720575941515975171,central_brain_intrinsic,LHAV6g1,0.7815870665672764
264,720575941611829990,ventral_nerve_cord_intrinsic,IN11A032,27.861624470985767
265,720575941473807200,sensory,SNpp50,5.822115392317849
266,720575941477329460,ventral_nerve_cord_intrinsic,IN04B080,1107.6088931377678
267,720575941610063849,optic_lobe_intrinsic,Tm1,0.0
268,720575941545049268,central_brain_intrinsic,CB1231,1535.197194044681
269,720575941480815555,optic_lobe_intrinsic,Li10,1.3718902417169847
270,720575941502211211,,,2.333413811079888
271,720575941540313725,optic_lobe_intrinsic,Mi10,0.2852377457091996
272,720575941431373743,central_brain_intrinsic,PLP218,24.22493998138687
273,720575941538919154,,,314.78398243409094
274,720575941566484839,,,24.12989008802724
275,720575941620205183,,,0.6620947875482698
276,720575941414262161,descending,DNpe021,6982.925097850499
277,720575941537860067,central_brain_intrinsic,SLP258,80.47284805066889
278,720575941569616542,ventral_nerve_cord_intrinsic,IN06B087,128.48885951373475
279,720575941611697385,,,0.0201741189549349
280,720575941508552226,central_brain_intrinsic,CL028,8.17986771754662
281,720575941526690841,ventral_nerve_cord_intrinsic,IN19B020,9343.098126045305
282,720575941644249938,central_brain_intrinsic,ATL030,57.71297890713208
283,720575941574984861,central_brain_intrinsic,lLN2F_b,30691.19154122496
284,720575941611396426,central_brain_intrinsic,CB0036,15.24683401029415
285,720575941588690500,,,0.0
286,720575941535304426,central_brain_intrinsic,CB3518,0.0627948037673724
287,720575941645628872,,,0.0
288,720575941553039643,sensory,SApp03,3.833758588191327
289,720575941580163829,,,1.1452519129467638
290,720575941518412910,ventral_nerve_cord_intrinsic,IN11A014,748.0650455597126
291,720575941470201565,visual_projection,MTe13,993.8659159985932
292,720575941571806971,central_brain_intrinsic,ER2,0.0
293,720575941472402016,ventral_nerve_cord_intrinsic,IN03A026,676.1231838904305
294,720575941626272650,ascending,AN19B001_a,251011.93651265744
295,720575941589260100,ventral_nerve_cord_intrinsic,IN06B017,11073.915152826634
296,720575941508609665,ascending,AN19B001_b,152273.0014712692
297,720575941435585934,,,0.0021591127647482
298,720575941572799119,sensory,SNta09,1.5425821980557572
299,720575941506006807,sensory,SNta44,1.665958322754571
300,720575941429026735,central_brain_intrinsic,CB0856,343.067422487056
