flow,super_class,cell_class,cell_sub_class,cell_function,cell_function_detailed,count
,,antennal_lobe_local_neuron,,,,427
,,antennal_lobe_output_neuron,,,,14
,,antennal_lobe_projection_neuron,multiglomerular_projection_neuron,,,400
,,,uniglomerular_projection_neuron,,,277
,,,,,,8
,,central_complex_input_neuron,EB_input,,,278
,,,ExR,,,26
,,,FB_tangential,,,638
,,,NO_input,,,14
,,,PB_input,,,32
,,central_complex_intrinsic_neuron,FC,,,232
,,,PEN,,,42
,,,PFN,,,436
,,,hDelta,,,189
,,,vDelta,,,389
,,,,,,131
,,central_complex_output_neuron,FR,,,35
,,,FS,,,294
,,,PEG,,,20
,,,PFG,,,23
,,,PFL,,,50
,,,PFR,,,30
,,circadian_neuron,APDN3,,,6
,,,DN1a,,,4
,,,DN1p,,,28
,,,DN3,,,94
,,,LNd,,,12
,,,LPN,,,6
,,,,,,11
,,kenyon_cell,KCab,,,1771
,,,KCapbp,,,917
,,,KCg,,,2489
,,lateral_horn_centrifugal_neuron,,,,42
,,lateral_horn_local_neuron,,,,559
,,lateral_horn_output_neuron,,,,1217
,,medial_antennal_lobula,,,,4
,,mushroom_body_dopaminergic_neuron,PAM_dopaminergic_neuron,,,303
,,,PPL1_dopaminergic_neuron,,,16
,,,PPL2_dopaminergic_neuron,,,8
,,mushroom_body_extrinsic_neuron,,,,4
,,mushroom_body_output_neuron,,,,96
,,ocellar_intrinsic_neuron,,,,16
,,optic_anterior,,,,4
,,subesophageal_zone_projection_neuron,BiT,gustatory,water,2
,,,mAL,,,76
,,tubercular_bulbar_neuron,,,,150
,,wedge_projection_neuron,PPM_dopaminergic_neuron,,,4
,,,,,,148
,,,DN3,,,63
,,,PAM_dopaminergic_neuron,,,3
,,,PPM_dopaminergic_neuron,,,12
,,,,,,
,central_brain_sensory,nutrient_sensory_neuron,hemolymph_sensory_neuron,interoceptive,,4
,descending,descending_neuron,,,,2621
,optic_lobe_intrinsic,amacrine_medulla,,,,4
,,distal_medulla,optic_lobe_tangential_neuron,,,151
,,,,,,6629
,,distal_medulla_dorsal_rim_area,,visual_polarized_light,,83
,,lamina_intrinsic,,,,714
,,lamina_monopolar,,visual_achromatic,,7614
,,,,,,346
,,lamina_tangential,,,,11
,,lamina_wide_field,,,,646
,,lobula_columnar,,,,93
,,lobula_intrinsic,optic_lobe_tangential_neuron,,,233
,,,,,,2093
,,lobula_lobula_plate_tangential,,,,136
,,lobula_medulla_amacrine,optic_lobe_tangential_neuron,,,124
,,,,,,336
,,lobula_medulla_tangential,optic_lobe_tangential_neuron,,,128
,,,,,,173
,,lobula_plate_columnar,,,,1
,,lobula_plate_intrinsic,optic_lobe_tangential_neuron,,,19
,,,,,,764
,,lobula_plate_tangential_cell,,,,4
,,lobula_tangential,optic_lobe_tangential_neuron,,,5
,,,,,,2
,,medulla_intrinsic,,,,7971
,,medulla_lobula_lobula_plate_amacrine,optic_lobe_tangential_neuron,,,4
,,medulla_lobula_plate,,,,2
,,medulla_lobula_tangential,,,,615
,,medulla_medulla,,,,28
,,medulla_tangential,,,,8
,,medulla_tubercle,,,,7
,,optic_lobe_intrinsic_centrifugal,,,,5855
,,proximal_distal_medulla_tangential,optic_lobe_tangential_neuron,,,16
,,proximal_medulla,optic_lobe_tangential_neuron,,,991
,,,,,,1012
,,serpentine_medulla,optic_lobe_tangential_neuron,,,265
,,,,,,2890
,,translobula_plate,,,,353
,,transmedullary,optic_lobe_tangential_neuron,,,3
,,,,,,
