neuropil,num_synapses,pre_not_proofread,pre_is_proofread,post_not_proofread,post_is_proofread,pre_proofread_%,post_proofread_%
VNC_T2-MesoNm_R,5846076,1341502,4504574,4138935,1707141,77.05294970506714,29.20148489345674
VNC_T2-mVAC_L,102491,22133,80358,62292,40199,78.4049331160785,39.221980466577556
VNC_T2-mVAC_R,116270,20679,95591,63128,53142,82.21467274447407,45.705685043433384
VNC_T3-MetaNm_L,6076540,1696182,4380358,4677600,1398940,72.08638468602197,23.021982904745133
VNC_T3-MetaNm_R,6004451,1695612,4308839,4669818,1334633,71.7607488178353,22.227394311320054
VNC_T3-mVAC_L,125373,35296,90077,93042,32331,71.84720793153231,25.787849058409705
VNC_T3-mVAC_R,124766,37017,87749,93863,30903,70.33085936873827,24.768767132071236
VNC_WTct_L,1113634,284248,829386,801906,311728,74.47563562175723,27.991961452326347
VNC_WTct_R,1062020,255760,806260,759363,302657,75.91759100581909,28.49823920453475
VNC_unassigned_L,992075,329686,662389,728828,263247,66.7680366907744,26.534989794118392
VNC_unassigned_R,790093,257203,532890,577754,212339,67.44649047643759,26.875190642114283
brain_unassigned_L,1048206,579567,468639,837672,210534,44.70867367673911,20.08517409745794
brain_unassigned_R,1100795,492060,608735,757720,343075,55.2995789406747,31.166111764679165
neck_unassigned_L,7967,6041,1926,5981,1986,24.1747207229823,24.92782728756119
neck_unassigned_R,7991,6291,1700,6383,1608,21.273933174821675,20.12263796771368
