neuropil,num_synapses,pre_not_proofread,pre_is_proofread,post_not_proofread,post_is_proofread,pre_proofread_%,post_proofread_%
CB_MB-VL_R,217932,111487,106445,172876,45056,48.843217150303765,20.674338784575006
CB_NO_L,71249,16274,54975,29037,42212,77.15897766986203,59.24574379991299
CB_NO_R,69776,15583,54193,28035,41741,77.66710616831001,59.82142857142857
CB_PB_L,198627,24634,173993,127965,70662,87.5978593041228,35.57522391215696
CB_PB_R,181946,25529,156417,120321,61625,85.96891385356095,33.8699394325789
CB_PLP_L,2400682,1012066,1388616,2025606,375076,57.84256307166047,15.623726924265688
CB_PLP_R,2829069,1020480,1808589,2339714,489355,63.9287694997895,17.29738652539051
CB_PRW_L,528776,139473,389303,415533,113243,73.62342466375176,21.416062756252174
CB_PRW_R,505958,112496,393462,377836,128122,77.76574340162622,25.322655240158277
CB_PVLP_L,2123865,922557,1201308,1745825,378040,56.56235212690072,17.79962474074388
CB_PVLP_R,2974815,996162,1978653,2369988,604827,66.51348067022656,20.331583644697233
CB_SAD_L,1038818,324947,713871,804978,233840,68.7195447133184,22.510199091659942
CB_SAD_R,961677,305201,656476,729658,232019,68.26366857063235,24.126499853901052
CB_SCL_L,1450140,627416,822724,1271273,178867,56.734108430910126,12.334464258623305
CB_SCL_R,1325831,529815,796016,1145942,179889,60.03902458156431,13.5680188500646
CB_SIP_L,1038344,559757,478587,926268,112076,46.09137241607791,10.793725393511206
CB_SIP_R,1063719,525580,538139,927275,136444,50.59033447743248,12.827071811258426
CB_SLP_L,3543895,2421950,1121945,3283839,260056,31.6585282577503,7.338140661616667
CB_SLP_R,3615978,2314158,1301820,3297086,318892,36.00187833001197,8.818969584438843
CB_SMP_L,3526285,1566729,1959556,3021989,504296,55.56998370806671,14.301056210714675
CB_SMP_R,3690664,1527064,2163600,3123094,567570,58.62359727138531,15.378533510501091
CB_SPS_L,2648778,865146,1783632,2112769,536009,67.33791959915101,20.236086225421683
CB_SPS_R,2232808,634962,1597846,1737511,495297,71.56217641642273,22.18269551166065
CB_VES_L,1255511,263523,991988,967505,288006,79.01069763626126,22.939345015694805
CB_VES_R,1301502,280247,1021255,1010445,291057,78.46741687680849,22.36316194673539
CB_WED_L,1076656,317782,758874,882450,194206,70.48435154775528,18.037887681859388
CB_WED_R,822474,202211,620263,643982,178492,75.41429881066149,21.701841030841095
OL_AME_L,37914,28363,9551,35210,2704,25.191222239805878,7.131930157725379
OL_AME_R,18442,9174,9268,15534,2908,50.25485305281423,15.768354842208005
OL_LOP_L,4348175,3374354,973821,3852449,495726,22.39608571412144,11.400783087157256
OL_LOP_R,4361047,1395426,2965621,3093385,1267662,68.00250031701103,29.06783623290462
OL_LO_L,10292842,8000254,2292588,9078804,1214038,22.273615003514095,11.794973633132617
OL_LO_R,10342073,5112724,5229349,8034406,2307667,50.563837636806475,22.313389201565297
OL_ME_L,22231893,19879648,2352245,21323909,907984,10.58049802596657,4.084150638904208
OL_ME_R,23125078,12271237,10853841,18100232,5024846,46.935370336913024,21.728990492486123
VNC_AMNp_L,861941,264656,597285,631541,230400,69.2953462011901,26.730367855804516
VNC_AMNp_R,792757,247066,545691,590700,202057,68.83458613421263,25.487885947396236
VNC_ANm_L,3055600,1004642,2050958,2397526,658074,67.12128550857443,21.536654012305277
VNC_ANm_R,3064175,898741,2165434,2391728,672447,70.66939714605073,21.945450243540268
VNC_HTct_L,1098097,282467,815630,837388,260709,74.27668047540426,23.74189165438026
VNC_HTct_R,1106840,257148,849692,834748,272092,76.76737378482889,24.58277619168082
VNC_IntTct_L,1354646,288566,1066080,1042978,311668,78.69805100373087,23.00733918676909
VNC_IntTct_R,1450476,317007,1133469,1131713,318763,78.1446228686307,21.976440837352705
VNC_LTct_L,656522,144806,511716,481574,174948,77.94346571782819,26.647698020782247
VNC_LTct_R,690937,156483,534454,512957,177980,77.3520595944348,25.75922262087571
VNC_NTct_L,533397,97591,435806,401389,132008,81.70387160032772,24.748545642363943
VNC_NTct_R,500580,111593,388987,387256,113324,77.70725957888848,22.638539294418475
VNC_T1-ProNm_L,6183698,1373906,4809792,4492554,1691144,77.78180629131629,27.34842484222224
VNC_T1-ProNm_R,5927380,1595623,4331757,4492321,1435059,73.08046725534722,24.210679929412322
VNC_T1-mVAC_L,190258,40552,149706,119525,70733,78.6857845662206,37.17741172513114
VNC_T1-mVAC_R,206389,48294,158095,138507,67882,76.60049711951703,32.89031876698855
VNC_T2-MesoNm_L,5542951,1278662,4264289,4029823,1513128,76.93174628460544,27.29823879013183
VNC_T2-MesoNm_R,5846076,1360618,4485458,4141821,1704255,76.72596114042992,29.152118446629842
VNC_T2-mVAC_L,102491,23303,79188,62447,40044,77.2633694665873,39.07074767540564
VNC_T2-mVAC_R,116270,20724,95546,63158,53112,82.1759697256386,45.679883030876404
VNC_T3-MetaNm_L,6076540,1827235,4249305,4694272,1382268,69.92968037732,22.747616242137795
VNC_T3-MetaNm_R,6004451,1811497,4192954,4684195,1320256,69.83076387832959,21.987955268516636
VNC_T3-mVAC_L,125373,39035,86338,93524,31849,68.86490711716239,25.403396265543616
VNC_T3-mVAC_R,124766,40906,83860,94338,30428,67.21382427905039,24.388054437907762
VNC_WTct_L,1113634,288743,824891,802973,310661,74.07200211200448,27.896149004071358
VNC_WTct_R,1062020,260454,801566,760600,301420,75.4756030959869,28.381763055309694
VNC_unassigned_L,992075,341551,650524,731284,260791,65.57205856412067,26.287427865836754
VNC_unassigned_R,790093,261836,528257,578909,211184,66.86010381056407,26.729005319626932
brain_unassigned_L,1048206,630373,417833,865138,183068,39.861725653163596,17.46488762705041
brain_unassigned_R,1100795,514261,586534,768896,331899,53.282763820693226,30.150845525279458
neck_unassigned_L,7967,6043,1924,5986,1981,24.149617170829675,24.865068407179617
neck_unassigned_R,7991,6297,1694,6388,1603,21.19884870479289,20.060067576023023
