UMAP1,UMAP2,id,neurotransmitter,side,region,super_class,hemilineage,cell_function,nerve,cell_sub_type,cell_class,cell_sub_class,cell_type,fafb_cell_type,manc_cell_type,super_cluster,st_cluster,manual_cluster,seed_12,pd_width,neck_group,group,label,cell_type_base,modality,cell_function_plot,clusterno,image_path,cosine_UMAP1,cosine_UMAP2,calculated_cluster,cluster,colours,pd_has_width,pd_size,image
-19.492495666886075,-7.535374737872068,720575941549156980,acetylcholine,right,central_brain,descending,LB12,flight,NA,DNg02_b,descending_neuron,descending_neuron,DNg02_b,DNg02_b,DNg02,flight power,flight power (DN),DN_15,DNg02_b_720575941549156980,0.36,IN,descending_IN,DNg02_b,DNg02,flight,flight,6,figures/schematics/umap_icons/flight.svg,-13.308732242530951,-20.74102294013804,6,DN_06,#4D9C3C,TRUE,0.36,figures/schematics/umap_icons/flight.svg
4.06936584815909,-29.38619670976538,720575941549247368,acetylcholine,right,central_brain,descending,LB7,NA,NA,DNge092,descending_neuron,descending_neuron,DNge092,DNge092,DNxn109,flight steering 2,flight steering 2 (DN),DN_12,DNge092_720575941521369523,NA,OUT,descending_OUT,NA,DNge092,NA,NA,4,NA,-31.733659954017767,3.942839746019187,4,DN_04,#947E6C,FALSE,0.5,NA
-5.303432594681486,1.7995459068880635,720575941549273992,acetylcholine,right,central_brain,descending,putative_primary,landing,NA,DNp47,descending_neuron,descending_neuron,DNp47,DNp47,DNp47,head orienting,head orienting (DN),DN_02,DNp47_720575941477443358,0.8,OUT,descending_OUT,DNp47,DNp47,landing,landing,1,figures/schematics/umap_icons/landing.svg,-5.165574283546576,9.844920281907859,1,DN_01,#EC9832,TRUE,0.8,figures/schematics/umap_icons/landing.svg
1.5181838165276205,-39.48749408830542,720575941549428991,acetylcholine,left,ventral_nerve_cord,ascending,07B,NA,NA,AN07B072_b,ascending_neuron,ascending_neuron,AN07B072_b,auto:AN_GNG_175,auto:AN07B072,head orienting,head orienting (AN),AN_02,NA_720575941549428991,0.35,OUT,ascending_OUT,NA,AN07B072,NA,NA,4,NA,-34.299061031288275,4.0808764739244605,4,AN_04,#947E6C,TRUE,0.35,NA
-8.58227170600961,27.102628134594973,720575941549450301,gaba,left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B050,ascending_neuron,ascending_neuron,AN05B050,AN_GNG_1,AN05B050,probing,probing (AN),AN_01,AN05B050_720575941549450301,0.39,OUT,ascending_OUT,NA,AN05B050,NA,NA,1,NA,19.721915988975397,-4.134448881605325,1,AN_01,#EC9832,TRUE,0.39,NA
-20.525635849381192,-10.203595734728758,720575941549490209,acetylcholine,right,central_brain,descending,LB12,flight,NA,DNg02_a,descending_neuron,descending_neuron,DNg02_a,DNg02_a,DNg02,flight power,flight power (DN),DN_15,DNg02_a_720575941549490209,0.35,IN,descending_IN,DNg02_a,DNg02,flight,flight,6,figures/schematics/umap_icons/flight.svg,-17.057375163978705,-18.73402297065562,6,DN_06,#4D9C3C,TRUE,0.35,figures/schematics/umap_icons/flight.svg
-0.1268493641860331,-15.622171975268309,720575941549506932,acetylcholine,right,central_brain,descending,putative_primary,NA,NA,DNb03,descending_neuron,descending_neuron,DNb03,DNb03,DNb03,head orienting,head orienting (DN),DN_02,DNb03_720575941549506932,0.44,IN,descending_IN,NA,DNb03,NA,NA,4,NA,-25.414730281776556,1.8610358281343602,4,DN_04,#947E6C,TRUE,0.44,NA
6.9852722774498615,-36.577234841479246,720575941549510974,glutamate,left,ventral_nerve_cord,ascending,16B,NA,NA,AN16B078,ascending_neuron,ascending_neuron,AN16B078,SA_DMT_DMetaN_12,AN16B078,flight steering 2,flight steering 2 (AN),AN_12,AN16B078_720575941549510974,0.53,IN,ascending_IN,NA,AN16B078,NA,NA,11,NA,-40.78463384622968,10.232431535264793,11,AN_11,#FE4545,TRUE,0.53,NA
16.60703550681998,37.61434688459497,720575941549927229,acetylcholine,left,ventral_nerve_cord,ascending,TBD,NA,NA,ANXXX043,ascending_neuron,ascending_neuron,ANXXX043,AN_AVLP_GNG_22,ANXXX043,tactile,tactile (AN),AN_13,ANXXX043_720575941549927229,0.45,OUT,ascending_OUT,NA,ANXXX043,NA,NA,13,NA,38.359935550742975,8.255127076646628,13,AN_13,#48A9D9,TRUE,0.45,NA
2.121260036086336,-28.933495141161863,720575941549936957,gaba,right,ventral_nerve_cord,ascending,06A,NA,NA,AN06A017,ascending_neuron,ascending_neuron,AN06A017,SA_DMT_ADMN_10,AN06A017,head orienting,head orienting (AN),AN_02,AN06A017_720575941549936957,NA,IN,ascending_IN,NA,AN06A017,NA,NA,4,NA,-35.553463191932806,-0.4006869749814845,4,AN_04,#947E6C,FALSE,0.5,NA
