neuron_name,flywire_id
tulip,720575940617755220
tulip,720575940620061793
tundra,720575940621573542
tundra,720575940621538142
turner,720575940629437378
turner,720575940610956334
twirl,720575940636034661
usnea,720575940641366517
usnea,720575940632648612
vice,720575940621431884
vice,720575940622392260
vice,720575940616623590
vice,720575940612879783
vice,720575940623252407
vice,720575940611156978
wafflecone,720575940624913959
wafflecone,720575940626075517
weaver,720575940616605441
weaver,720575940629460524
weaver,720575940628469508
weaver,720575940636887130
weaver,720575940633050524
weaver,720575940614728607
weaver,720575940612023922
weaver,720575940612938961
weaver,720575940625384323
weaver,720575940628330651
weaver,720575940619409135
weaver,720575940628546807
weaver,720575940613412002
web,720575940624038663
web,720575940627286088
web,720575940622500172
web,720575940632722636
web,720575940627087646
web,720575940624897516
whisker,720575940627429907
whisker,720575940627418387
