root_id,spectral_cluster,umap_x,umap_y,unofficial_cluster_name
720575941535335178,5,1.7323937,1.7148362,lateral brain
720575941534941962,2,-9.119352,7.345625,ventral VNC
720575941462721293,11,14.650143,13.620262,left olfactory
720575941510562576,4,1.807739,5.292736,posterior brain
720575941653824273,7,5.072444,4.516291,inferior brain
720575941614371603,7,3.138645,6.0846906,inferior brain
720575941447779092,1,-6.0336623,1.0258242,dorsal VNC
720575941651202837,4,3.395844,6.111074,posterior brain
720575941467702038,8,9.926028,5.5387087,superior brain
720575941552505627,9,3.8036656,13.174291,left visual
720575941414617884,8,8.966721,5.36196,superior brain
720575941436244768,6,10.999726,4.1722507,flange median bundle
720575941549622049,7,5.300554,6.4606676,inferior brain
720575941434409760,10,4.6282425,0.30225688,right visual
720575941600740137,10,4.8307753,0.47155973,right visual
720575941472158506,2,-7.1205854,12.850487,ventral VNC
720575941474779946,4,1.9286101,6.5335155,posterior brain
720575941438735148,8,10.186331,5.897839,superior brain
720575941565350702,1,-6.0345416,2.0067508,dorsal VNC
720575941353276208,7,5.8525033,8.94481,inferior brain
720575941503746866,5,1.1656429,8.75064,lateral brain
720575941476746036,7,5.404491,10.078911,inferior brain
720575941662475064,4,2.5866113,6.177069,posterior brain
720575941723161402,2,-7.6193027,9.314471,ventral VNC
720575941549753150,1,-8.3551,0.9006484,dorsal VNC
720575941439652671,8,7.437235,5.600117,superior brain
720575941471896384,3,-9.918151,4.568919,abdominal VNC
720575941589205828,4,3.6291518,6.2894845,posterior brain
720575941459313478,2,-6.4530163,12.341959,ventral VNC
720575941658936144,2,-6.815885,8.445525,ventral VNC
720575941579899729,12,10.231223,0.48637652,right olfactory
720575941642158930,5,-5.2778163,9.641992,lateral brain
720575941658542928,2,-6.1054487,9.145908,ventral VNC
720575941427987284,9,3.813613,13.143761,left visual
720575941427594068,7,5.535562,6.123352,inferior brain
720575941577540441,2,-10.335373,7.5009074,ventral VNC
720575941449483101,8,8.153874,5.704781,superior brain
720575941430739809,11,10.168531,9.503905,left olfactory
720575941515805539,11,10.747677,10.35204,left olfactory
720575941514756963,11,15.898881,14.278734,left olfactory
720575941611488102,4,1.0104977,6.666413,posterior brain
720575941566137191,5,2.4254234,1.8263093,lateral brain
720575941576622952,13,14.281094,1.202267,central complex
720575941545952105,7,5.7268376,5.7756476,inferior brain
720575941478712170,4,0.17389467,5.5773163,posterior brain
720575941593793387,10,3.749928,-3.885338,right visual
720575941567841138,10,4.8903537,2.6342857,right visual
720575941639537525,7,3.856821,7.039579,inferior brain
720575941645173624,12,9.34522,2.6740384,right olfactory
720575941449876346,4,1.0167121,6.6405067,posterior brain
720575941496406907,10,5.0281887,0.74208033,right visual
720575941662081916,10,2.243812,-2.6356907,right visual
720575941539922813,13,14.716104,1.7567332,central complex
720575941539529597,6,-2.3160293,3.7452242,flange median bundle
720575941498504059,8,6.2501116,6.970053,superior brain
720575941662212988,9,3.2308533,14.736899,left visual
720575941508596609,8,7.104263,5.787979,superior brain
720575941497324411,11,9.7375765,9.065643,left olfactory
720575941528126340,11,16.111473,14.61748,left olfactory
720575941596414853,12,9.284319,2.7381585,right olfactory
720575941583307654,5,-4.1564417,10.323997,lateral brain
720575941564433298,11,11.103754,10.540268,left olfactory
720575941413569428,12,15.013744,-5.6684923,right olfactory
720575941538087829,3,-9.993216,4.461524,abdominal VNC
720575941691442072,5,2.6204338,9.642562,lateral brain
720575941596021660,13,-2.9286127,-9.54645,central complex
720575941569676190,2,-10.528025,8.820198,ventral VNC
720575941630493600,1,-7.568696,1.8959692,dorsal VNC
720575941643338657,10,2.1757696,-2.4537532,right visual
720575941671781287,11,11.207674,10.750267,left olfactory
720575941411210155,2,-7.625182,8.375231,ventral VNC
720575941520262067,8,7.774958,6.344871,superior brain
720575941449745333,2,-5.8732476,9.273802,ventral VNC
720575941575181238,4,1.038776,7.7937903,posterior brain
720575941546476476,2,-6.925441,8.985352,ventral VNC
720575941603886014,2,-9.61544,10.367946,ventral VNC
720575941599036352,13,7.945505,-6.1375003,central complex
720575941535335361,12,10.096543,0.7779777,right olfactory
720575941481989059,2,-6.663298,13.322978,ventral VNC
720575941461803972,9,2.5700588,13.974751,left visual
720575941496013767,1,-7.8440976,1.5412846,dorsal VNC
720575941496144839,7,4.4271355,5.0746093,inferior brain
720575941489066956,13,7.9311156,-6.153111,central complex
720575941489591244,10,4.7228746,-3.3790774,right visual
720575941441356751,13,-5.858442,-8.041863,central complex
720575941487494096,12,14.131426,-3.4589553,right olfactory
720575941514363857,2,-5.6357183,12.045596,ventral VNC
720575941511480273,1,-5.1853867,3.398148,dorsal VNC
720575941511218130,5,2.6101727,9.800089,lateral brain
720575941431788503,7,5.24343,3.0531077,inferior brain
720575941655135193,10,2.1783888,-0.2975657,right visual
720575941701010394,7,5.807551,7.9658093,inferior brain
