seed_class,super_cluster,target,influence_norm_log_max
visual_projection,walking steering,DNde003,19.09
visual_projection,flight steering 1,DNp03,19.08
visual_projection,walking,DNpe022,19.08
visual_projection,flight steering 1,DNp51,19.07
visual_projection,flight steering 1,DNpe019,19.06
visual_projection,flight steering 2,DNg18_b,19.05
visual_projection,head orienting,DNge033,19.04
visual_projection,postural control,DNp32,19.04
visual_projection,flight steering 1,DNp57,19.03
visual_projection,threat response,AN08B041,19.01
visual_projection,postural control,DNpe055,18.97
visual_projection,postural control,DNg52,18.96
visual_projection,threat response,DNp59,18.96
visual_projection,reproduction,ANXXX027,18.95
visual_projection,taste-touch,ANXXX027,18.95
visual_projection,head orienting,AN07B082,18.94
visual_projection,head orienting,DNge072,18.94
visual_projection,taste-touch,DNpe052,18.94
visual_projection,flight steering 1,DNg01,18.93
visual_projection,postural control,DNp104,18.93
visual_projection,walking,AN12B019,18.93
visual_projection,tactile,DNge132,18.92
visual_projection,flight steering 2,DNp73,18.91
visual_projection,head orienting,AN18B025,18.91
visual_projection,flight power,DNg106,18.9
visual_projection,flight power,DNg51,18.9
visual_projection,head orienting,DNge026,18.9
visual_projection,flight steering 1,AN06B042,18.89
visual_projection,head orienting,DNpe009,18.88
visual_projection,threat response,DNp02,18.88
visual_projection,walking steering,DNa13,18.88
visual_projection,visceral control,DNp25,18.87
visual_projection,walking,DNpe001,18.85
visual_projection,flight steering 1,DNbe001,18.84
visual_projection,visceral control,DNge135,18.84
visual_projection,flight power,AN07B037,18.82
visual_projection,flight steering 2,AN06A095,18.82
visual_projection,head orienting,AN06A016,18.8
visual_projection,flight power,DNge145,18.79
visual_projection,walking steering,DNg64,18.79
visual_projection,probing,AN06A015,18.78
visual_projection,postural control,DNp13,18.77
visual_projection,tactile,AN12B055,18.76
visual_projection,flight steering 1,DNae003,18.75
visual_projection,flight power,DNge090,18.74
visual_projection,walking,ANXXX023,18.73
visual_projection,walking steering,DNg111,18.73
visual_projection,flight steering 2,AN19B101,18.72
visual_projection,head orienting,AN07B076,18.72
visual_projection,threat response,DNge047,18.72
visual_projection,head orienting,DNg36_a,18.71
visual_projection,walking,DNde002,18.69
visual_projection,head orienting,DNge118,18.68
visual_projection,postural control,DNge010,18.68
visual_projection,reproduction,AN12B089,18.68
visual_projection,walking,AN09B003,18.68
visual_projection,flight steering 1,DNg71,18.67
visual_projection,walking,DNg97,18.67
visual_projection,feeding,AN09B019,18.66
visual_projection,head orienting,DNa16,18.66
visual_projection,walking,AN09B019,18.66
visual_projection,walking,AN08B022,18.65
visual_projection,flight power,AN07B036,18.63
visual_projection,flight power,DNg02_b,18.63
visual_projection,flight steering 1,DNb01,18.62
visual_projection,walking steering,DNg96,18.62
visual_projection,flight power,AN06B031,18.61
visual_projection,walking,AN12B017,18.6
visual_projection,flight steering 2,AN06A080,18.59
visual_projection,walking,AN09B011,18.59
visual_projection,walking steering,DNae001,18.59
visual_projection,reproduction,DNc02,18.58
visual_projection,reproduction,DNge013,18.58
visual_projection,walking,DNa01,18.58
visual_projection,walking,AN19B042,18.57
visual_projection,walking steering,DNa11,18.57
visual_projection,probing,DNge037,18.55
visual_projection,reproduction,AN06B057,18.54
visual_projection,threat response,DNp45,18.53
visual_projection,postural control,DNp11,18.52
visual_projection,head orienting,AN03A002,18.51
visual_projection,walking,AN04A001,18.51
visual_projection,walking,DNd05,18.51
visual_projection,head orienting,DNpe015,18.5
visual_projection,threat response,DNp38,18.5
visual_projection,walking steering,DNa02,18.5
visual_projection,postural control,DNg101,18.49
visual_projection,head orienting,DNge095,18.48
visual_projection,postural control,DNg69,18.48
visual_projection,flight steering 1,DNp63,18.47
visual_projection,threat response,DNpe043,18.44
visual_projection,flight power,AN06B023,18.43
visual_projection,flight power,AN10B017,18.43
visual_projection,flight steering 1,AN06B023,18.43
visual_projection,flight steering 2,AN19B059,18.43
visual_projection,head orienting,AN07B049,18.43
visual_projection,walking,DNg19,18.43
visual_projection,walking steering,DNge040,18.42
visual_projection,flight steering 1,DNa05,18.41
visual_projection,flight steering 2,AN07B060,18.41
visual_projection,walking,DNge058,18.41
visual_projection,walking,DNpe045,18.41
visual_projection,walking steering,MDN,18.41
visual_projection,flight power,AN02A009,18.39
visual_projection,flight steering 1,DNae010,18.39
visual_projection,visceral control,DNpe035,18.37
visual_projection,walking steering,DNge124,18.37
visual_projection,postural control,DNg74_a,18.36
visual_projection,probing,DNg37,18.36
visual_projection,walking,DNg43,18.36
visual_projection,flight power,DNg08_b,18.34
visual_projection,flight power,AN02A017,18.33
visual_projection,flight power,AN06B034,18.33
visual_projection,flight power,DNg02_g,18.33
visual_projection,flight steering 2,AN07B089,18.33
visual_projection,head orienting,AN11B012,18.33
visual_projection,threat response,DNpe031,18.32
visual_projection,walking,AN07B013,18.32
visual_projection,walking,DNge034,18.32
visual_projection,flight steering 1,DNa09,18.31
visual_projection,postural control,AN07B045,18.31
visual_projection,walking,DNbe006,18.29
visual_projection,flight steering 1,DNg05_b,18.28
visual_projection,head orienting,AN07B085,18.28
visual_projection,taste-touch,AN17B012,18.28
visual_projection,taste-touch,DNg40,18.28
visual_projection,flight steering 1,DNb07,18.27
visual_projection,threat response,DNge099,18.27
visual_projection,threat response,DNp01,18.27
visual_projection,postural control,DNpe050,18.26
visual_projection,head orienting,DNge018,18.25
visual_projection,postural control,DNa14,18.25
visual_projection,walking,DNge081,18.25
visual_projection,postural control,DNp46,18.24
visual_projection,flight power,AN06A041,18.23
visual_projection,head orienting,AN18B023,18.22
visual_projection,threat response,AN08B099,18.2
visual_projection,postural control,AN08B097,18.19
visual_projection,threat response,AN08B097,18.19
visual_projection,walking,DNg109,18.19
visual_projection,head orienting,ANXXX200,18.18
visual_projection,visceral control,AN27X013,18.17
visual_projection,postural control,AN05B048,18.15
visual_projection,flight steering 1,DNge016,18.14
visual_projection,flight steering 2,AN19B100,18.13
visual_projection,postural control,AN19B014,18.13
visual_projection,flight steering 1,DNa04,18.12
visual_projection,head orienting,DNge125,18.12
visual_projection,flight steering 2,AN19B046,18.11
visual_projection,postural control,DNg93,18.11
visual_projection,postural control,AN08B031,18.09
visual_projection,postural control,AN18B053,18.08
visual_projection,threat response,AN01A049,18.08
visual_projection,walking,ANXXX145,18.08
visual_projection,postural control,AN07B070,18.07
visual_projection,postural control,AN07B003,18.06
visual_projection,walking,DNge127,18.06
visual_projection,head orienting,DNg89,18.05
visual_projection,flight steering 2,AN19B104,18.04
visual_projection,postural control,AN08B106,18.04
visual_projection,probing,DNge147,18.03
visual_projection,threat response,DNp23,18.02
visual_projection,postural control,AN05B067,18
visual_projection,taste-touch,AN05B078,17.99
visual_projection,threat response,DNpe040,17.99
visual_projection,reproduction,DNg33,17.98
visual_projection,head orienting,AN06A010,17.97
visual_projection,visceral control,DNpe048,17.97
visual_projection,walking steering,DNg31,17.97
visual_projection,walking,AN02A002,17.96
visual_projection,walking steering,DNg35,17.96
visual_projection,probing,DNg107,17.95
visual_projection,visceral control,DNpe033,17.95
visual_projection,flight power,DNge152,17.94
visual_projection,probing,DNge101,17.94
visual_projection,probing,DNge128,17.94
visual_projection,taste-touch,AN09B004,17.94
visual_projection,walking steering,DNpe023,17.94
visual_projection,flight power,DNg08_a,17.93
visual_projection,flight steering 1,DNa03,17.92
visual_projection,postural control,aSP22,17.92
visual_projection,flight power,DNge089,17.91
visual_projection,walking,AN08B998,17.91
visual_projection,proprioceptive,AN08B034,17.9
visual_projection,taste-touch,AN08B034,17.9
visual_projection,walking,AN17A050,17.9
visual_projection,probing,AN12B008,17.89
visual_projection,walking,DNge065,17.89
visual_projection,postural control,AN07B062,17.88
visual_projection,walking,DNg16,17.88
visual_projection,postural control,AN19B019,17.87
visual_projection,feeding,AN09B028,17.85
visual_projection,head orienting,AN02A022,17.84
visual_projection,postural control,DNge144,17.84
visual_projection,walking,DNg100,17.84
visual_projection,walking steering,DNge123,17.84
visual_projection,flight power,AN10B005,17.83
visual_projection,flight steering 2,AN06A026,17.83
visual_projection,tactile,AN09B023,17.83
visual_projection,taste-touch,AN09B023,17.83
visual_projection,threat response,DNge053,17.82
visual_projection,probing,DNge007,17.81
visual_projection,walking,AN01B005,17.81
visual_projection,postural control,AN08B098,17.78
visual_projection,postural control,DNg74_b,17.78
visual_projection,postural control,AN19B022,17.77
visual_projection,tactile,AN05B010,17.77
visual_projection,walking,AN09B034,17.77
visual_projection,postural control,AN17A012,17.76
visual_projection,postural control,DNp60,17.76
visual_projection,reproduction,ANXXX106,17.76
visual_projection,threat response,DNp66,17.76
visual_projection,walking,AN17A012,17.76
visual_projection,flight power,DNge093,17.75
visual_projection,head orienting,DNge045,17.75
visual_projection,reproduction,DNp30,17.75
visual_projection,flight steering 2,DNg99,17.74
visual_projection,head orienting,AN07B050,17.73
visual_projection,postural control,DNg14,17.73
visual_projection,reproduction,AN05B045,17.72
visual_projection,threat response,DNge119,17.72
visual_projection,postural control,AN08B069,17.71
visual_projection,postural control,AN08B101,17.71
visual_projection,postural control,DNge052,17.71
visual_projection,threat response,DNp69,17.71
visual_projection,taste-touch,DNge138,17.7
visual_projection,threat response,AN08B094,17.69
visual_projection,flight steering 1,DNa15,17.68
visual_projection,reproduction,DNg03,17.68
visual_projection,flight steering 1,DNae009,17.67
visual_projection,head orienting,DNg12_a,17.67
visual_projection,postural control,DNge004,17.67
visual_projection,head orienting,AN19B018,17.65
visual_projection,postural control,ANXXX116,17.65
visual_projection,taste-touch,AN05B025,17.65
visual_projection,threat response,AN08B049,17.65
visual_projection,walking steering,AN06B026,17.65
visual_projection,probing,ANXXX037,17.64
visual_projection,walking steering,DNg88,17.64
visual_projection,flight steering 2,AN16B081,17.63
visual_projection,postural control,DNg44,17.63
visual_projection,taste-touch,DNp70,17.63
visual_projection,walking,AN23B004,17.63
visual_projection,postural control,DNg45,17.62
visual_projection,proprioceptive,AN10B037,17.62
visual_projection,threat response,DNp64,17.62
visual_projection,threat response,DNpe026,17.62
visual_projection,postural control,AN27X004,17.6
visual_projection,reproduction,oviDNa_b,17.6
visual_projection,walking,DNp101,17.59
visual_projection,flight steering 2,AN19B093,17.57
visual_projection,flight steering 2,AN19B099,17.57
visual_projection,head orienting,AN19B025,17.57
visual_projection,flight power,DNg09,17.56
visual_projection,grooming,DNge011,17.56
visual_projection,flight steering 1,DNge017,17.55
visual_projection,grooming,DNg12_e,17.55
visual_projection,head orienting,AN06B044,17.55
visual_projection,postural control,AN08B059,17.55
visual_projection,flight power,AN07B004,17.54
visual_projection,flight steering 1,DNae006,17.53
visual_projection,tactile,DNg15,17.53
visual_projection,flight power,AN27X011,17.52
visual_projection,postural control,AN19B001_b,17.51
visual_projection,probing,AN07B015,17.51
visual_projection,flight steering 2,AN07B025,17.5
visual_projection,walking steering,AN02A025,17.5
visual_projection,walking steering,ANXXX131,17.5
visual_projection,head orienting,AN06B025,17.49
visual_projection,threat response,DNp42,17.49
visual_projection,visceral control,ANXXX019,17.49
visual_projection,flight power,DNp33,17.48
visual_projection,flight steering 2,AN07B063,17.48
visual_projection,postural control,ANXXX987,17.48
visual_projection,postural control,DNge064,17.48
visual_projection,reproduction,DNg57,17.48
visual_projection,visceral control,AN08B113,17.48
visual_projection,flight power,AN06B040,17.47
visual_projection,reproduction,AN09B012,17.47
visual_projection,threat response,DNpe039,17.47
visual_projection,reproduction,DNp52,17.46
visual_projection,taste-touch,AN09B024,17.45
visual_projection,walking,AN07B017,17.45
visual_projection,flight power,AN06B014,17.43
visual_projection,flight power,DNg02_f,17.43
visual_projection,head orienting,AN07B069,17.43
visual_projection,walking,AN09B026,17.43
visual_projection,flight power,AN06B046,17.42
visual_projection,flight steering 1,DNae004,17.42
visual_projection,postural control,DNge050,17.42
visual_projection,feeding,AN05B097,17.41
visual_projection,postural control,AN05B097,17.41
visual_projection,proprioceptive,AN10B035,17.41
visual_projection,threat response,AN05B097,17.41
visual_projection,walking,AN05B097,17.41
visual_projection,feeding,ANXXX434,17.4
visual_projection,threat response,AN08B102,17.37
visual_projection,visceral control,DNpe053,17.37
visual_projection,flight power,DNg02_c,17.36
visual_projection,head orienting,AN06A017,17.35
visual_projection,postural control,AN18B004,17.35
visual_projection,threat response,DNpe042,17.35
visual_projection,postural control,DNge148,17.34
visual_projection,head orienting,DNg10,17.33
visual_projection,flight power,DNg32,17.32
visual_projection,flight steering 1,AN18B020,17.32
visual_projection,head orienting,AN03B050,17.32
visual_projection,tactile,DNge104,17.32
visual_projection,walking,AN18B001,17.32
visual_projection,reproduction,DNge105,17.31
visual_projection,taste-touch,AN17A004,17.31
visual_projection,head orienting,AN06B037,17.3
visual_projection,postural control,DNge046,17.3
visual_projection,flight power,DNge084,17.29
visual_projection,head orienting,DNg05_a,17.29
visual_projection,flight power,DNpe010,17.28
visual_projection,postural control,DNp36,17.28
visual_projection,visceral control,AN27X017,17.28
